,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
536,여성장갑,1180.0,7310.0,6.8,39.2,0.6,0.55,15,3
542,양말,28500.0,186300.0,260.7,2444.2,0.96,1.41,15,3
543,캠핑용품,23100.0,99400.0,341.7,1364.3,1.58,1.5,15,3
545,블루투스스피커,33600.0,126700.0,47.8,718.5,0.15,0.61,15,3
547,무드등,11400.0,70100.0,30.8,329.8,0.29,0.5,15,3
549,백패킹,5300.0,20700.0,6.9,83.3,0.14,0.44,15,3
551,목도리,16400.0,141400.0,30.3,231.2,0.2,0.17,15,3
553,캠핑,18000.0,72600.0,20.0,233.8,0.12,0.36,15,3
554,백패킹텐트,3650.0,17800.0,9.5,127.3,0.28,0.77,15,3
557,텐트,12600.0,73500.0,40.6,613.8,0.35,0.91,15,3
558,백패킹배낭,1600.0,8080.0,3.7,51.6,0.25,0.69,15,3
561,백패킹장비,1040.0,3560.0,6.1,44.5,0.63,1.36,15,3
562,넥워머,11700.0,59800.0,11.6,182.6,0.11,0.32,15,3
564,캠핑장비,2070.0,5200.0,19.1,67.8,0.99,1.42,15,3
565,등산용품,2790.0,8530.0,25.9,121.9,0.99,1.53,15,3
566,캠핑브랜드,1200.0,2820.0,8.5,9.7,0.76,0.38,15,3
567,가죽장갑,2220.0,9400.0,9.9,117.4,0.47,1.31,15,3
568,등산복,8390.0,54900.0,65.9,750.0,0.83,1.47,15,3
570,감성캠핑용품,1280.0,9030.0,15.1,213.7,1.26,2.55,15,3
580,장갑,11300.0,57400.0,21.6,203.0,0.2,0.37,15,3
586,야구모자,1640.0,11000.0,7.5,131.7,0.5,1.29,15,3
587,거울,8510.0,32800.0,46.1,402.8,0.57,1.31,15,3
588,등산가방,7530.0,59300.0,24.1,686.4,0.34,1.25,15,3
589,침낭,11900.0,83900.0,59.7,1048.8,0.53,1.33,15,3
591,양말브랜드,1140.0,5720.0,23.1,259.6,2.14,4.9,15,3
592,팔토시,3640.0,13300.0,6.3,75.8,0.19,0.61,15,3
594,USB스피커,1790.0,3880.0,5.1,55.3,0.31,1.53,15,3
595,등산배낭,4150.0,18000.0,24.3,241.7,0.63,1.45,15,3
600,무지양말,1120.0,2830.0,3.9,34.5,0.38,1.31,15,3
602,겨울양말,3250.0,16100.0,14.0,195.0,0.45,1.26,15,3
612,패션양말,1290.0,9840.0,33.6,396.4,2.75,4.31,15,3
617,발냄새없애는법,1440.0,17600.0,2.6,212.5,0.19,1.28,15,3
622,니트양말,1480.0,7030.0,4.7,57.5,0.35,0.88,15,3
627,기모양말,1180.0,5750.0,5.5,38.1,0.49,0.7,15,3
637,장목양말,1310.0,10100.0,6.5,98.5,0.53,1.04,15,3
667,울양말,1940.0,5920.0,7.9,76.1,0.44,1.36,15,3
690,중목양말,2810.0,4830.0,4.2,35.6,0.16,0.79,15,3
711,여성양말,4140.0,18400.0,25.9,438.8,0.66,2.55,15,3
733,여자양말,3520.0,16000.0,14.8,337.1,0.45,2.23,15,3
