,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
688,노트북가방,9660.0,41000.0,24.0,313.0,0.27,0.81,15,3
689,노트북백팩,3280.0,10800.0,12.3,107.2,0.4,1.06,15,3
694,허리삐끗했을때,1420.0,24400.0,0.4,3.7,0.03,0.02,14,3
702,가죽장갑,2220.0,9400.0,9.9,117.4,0.47,1.31,15,3
703,피엘라벤모자,1210.0,10900.0,3.7,141.8,0.32,1.39,15,3
705,바이크장갑,1100.0,5780.0,16.9,254.6,1.66,4.7,15,3
710,미니백팩,1170.0,12800.0,4.1,52.4,0.38,0.45,15,3
738,백,2150.0,12900.0,1.8,4.0,0.09,0.04,15,3
739,왼쪽옆구리통증,3340.0,48700.0,1.5,95.8,0.05,0.21,15,3
741,손목스트랩,1110.0,4760.0,1.3,20.2,0.13,0.46,15,3
750,자전거장갑,5040.0,21400.0,17.0,230.5,0.36,1.14,15,3
756,파라슈트,1090.0,4540.0,1.1,31.5,0.11,0.76,15,3
776,손가락보호대,1360.0,9160.0,6.0,77.5,0.47,0.9,15,3
783,밴드,563100.0,147500.0,16.9,29.7,0.01,0.03,15,3
784,운동,6670.0,29400.0,3.3,115.8,0.06,0.42,15,3
800,헬스손목보호대,2470.0,11600.0,5.5,91.5,0.24,0.84,15,3
812,백패킹,5300.0,20700.0,6.9,83.3,0.14,0.44,15,3
817,저주파마사지기,3180.0,16200.0,11.3,177.8,0.39,1.17,15,3
818,팔토시,3640.0,13300.0,6.3,75.8,0.19,0.61,15,3
822,걷기운동,1090.0,4060.0,0.8,1.7,0.08,0.05,14,3
832,보정속옷,2140.0,21000.0,30.8,720.4,1.53,3.68,15,3
835,여행용가방,2660.0,14800.0,17.4,111.8,0.7,0.81,15,3
839,재활,1640.0,4100.0,0.6,4.4,0.04,0.12,15,3
870,발바닥통증,4360.0,57300.0,4.5,279.3,0.11,0.53,15,3
