,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
909,삼국지13,1730.0,1450.0,1.2,0.3,0.08,0.02,9,2
911,신곡,1900.0,10200.0,0.9,0.3,0.05,0.01,8,2
921,추리소설추천,1030.0,5280.0,0.3,0.3,0.04,0.01,12,2
922,클래식공연,2190.0,8930.0,1.7,47.7,0.09,0.57,15,3
926,클래식음악,2780.0,6350.0,3.7,8.0,0.14,0.14,15,3
942,토론,4900.0,9410.0,0.9,0.3,0.02,0.01,15,3
944,미술전시회,2870.0,15900.0,8.7,282.8,0.33,1.89,15,3
945,한국사,22100.0,32600.0,14.5,112.3,0.07,0.37,15,3
962,영어도서관,1430.0,12200.0,5.1,55.8,0.38,0.49,15,3
963,스터디카페,18100.0,289600.0,65.4,729.8,0.39,0.29,15,3
979,자기개발서,1280.0,2650.0,1.2,2.7,0.11,0.11,10,2
980,자기계발서,2070.0,5130.0,0.7,1.3,0.04,0.03,15,3
