,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
1108,CTYPE케이블,1140.0,3970.0,2.6,30.5,0.25,0.83,15,3
1109,핸드폰충전기,2450.0,9150.0,5.4,65.7,0.24,0.77,15,3
1142,등산용품,2790.0,8530.0,25.9,121.9,0.99,1.53,15,3
1145,급속충전기,1100.0,4510.0,3.2,25.8,0.31,0.61,15,3
1149,충전기,6840.0,24200.0,7.1,75.6,0.11,0.34,15,3
1151,미끄럼방지패드,3800.0,21100.0,35.9,198.3,1.0,0.99,15,3
1157,고희연,2880.0,17600.0,1.8,92.0,0.07,0.57,15,3
1161,USB케이블,2160.0,3190.0,5.6,24.3,0.28,0.84,15,3
1167,멀티충전케이블,1790.0,1440.0,1.3,15.6,0.08,1.18,15,3
1183,USB충전기,1110.0,2430.0,0.7,13.4,0.07,0.6,15,3
1189,애플워치거치대,3600.0,9090.0,3.3,56.6,0.1,0.68,15,3
1202,USB연장케이블,4550.0,5640.0,2.3,2.5,0.06,0.05,15,3
1228,셀카봉,6410.0,37500.0,30.8,490.8,0.51,1.39,15,3
1236,테팔무선청소기,1390.0,13100.0,3.1,119.8,0.24,0.98,15,3
1237,5핀케이블,1670.0,7010.0,2.6,5.6,0.17,0.09,15,3
1250,등산가방,7530.0,59300.0,24.1,686.4,0.34,1.25,15,3
1251,샤오미미밴드,1550.0,7910.0,1.4,59.7,0.1,0.82,15,3
1258,5핀충전기,1570.0,7650.0,1.9,63.3,0.13,0.89,15,3
1273,고속충전케이블,3330.0,17200.0,4.9,83.0,0.16,0.51,15,3
1278,멀티충전기,4260.0,14700.0,6.8,10.0,0.18,0.08,15,3
1279,스마트톡,1550.0,6390.0,6.5,91.5,0.45,1.52,15,3
1280,8핀케이블,1170.0,4980.0,1.5,34.0,0.15,0.74,15,3
1292,블루투스리모컨,1340.0,4900.0,0.6,0.3,0.05,0.01,15,3
1297,안대,3030.0,20800.0,9.1,226.5,0.32,1.16,15,3
1317,HDMI케이블,15700.0,35000.0,20.9,314.0,0.14,0.97,15,3
1332,충전케이블,3160.0,15700.0,4.3,130.3,0.15,0.89,15,3
1338,그립톡제작,4110.0,18600.0,114.9,786.6,2.97,4.54,15,3
1355,브리츠블루투스이어폰,1360.0,9700.0,2.7,74.0,0.21,0.82,15,3
1359,멀티어댑터,1860.0,6640.0,1.6,34.7,0.09,0.56,15,3
1363,핸드폰케이스,19000.0,135400.0,585.0,6598.0,3.27,5.25,15,3
1364,휴대폰삼각대,1270.0,4890.0,4.4,66.3,0.37,1.45,15,3
1365,미니삼각대,1200.0,4190.0,3.4,45.0,0.3,1.14,15,3
1380,아이폰충전케이블,2770.0,16200.0,4.5,243.8,0.18,1.6,15,3
1393,라이트닝케이블,2030.0,6580.0,0.9,0.3,0.05,0.01,15,3
1469,침대핸드폰거치대,1250.0,10200.0,4.1,84.6,0.35,0.87,15,3
1495,차량용방향제,23400.0,137400.0,53.6,851.0,0.24,0.65,15,3
1497,차량방향제,6040.0,53200.0,21.7,676.0,0.38,1.36,15,3
1501,자동차방향제,2780.0,14200.0,8.3,147.8,0.32,1.11,15,3
1505,차량용디퓨저,1870.0,7950.0,8.5,91.8,0.49,1.24,15,3
1506,명품차량용방향제,1140.0,7310.0,6.1,96.4,0.56,1.41,15,3
1515,실내디퓨저,1990.0,14600.0,6.9,107.7,0.37,0.77,15,3
1516,샤쉐,1310.0,3270.0,3.7,23.0,0.3,0.77,15,3
1527,주차번호판,5790.0,47200.0,18.8,282.0,0.35,0.63,15,3
1535,차량용탈취제,2130.0,2250.0,1.7,34.0,0.09,1.61,15,3
1537,실내방향제,1620.0,7800.0,9.0,108.0,0.58,1.48,15,3
1562,생일선물,7520.0,53100.0,8.7,172.5,0.13,0.35,15,3
1563,30대남자생일선물,2150.0,11100.0,1.1,3.3,0.06,0.04,15,3
1657,30대남자선물,1460.0,8050.0,0.8,3.0,0.06,0.04,15,3
1664,불독방향제,1070.0,6770.0,1.9,78.8,0.19,1.26,15,3
1665,우디향,1200.0,5810.0,0.8,2.6,0.08,0.05,15,3
1689,디퓨저,14100.0,42400.0,29.9,391.0,0.23,0.99,15,3
1691,자동차용품,4470.0,16000.0,61.3,246.5,1.46,1.66,15,3
1745,디퓨저추천,1350.0,6950.0,3.4,62.5,0.27,0.96,15,3
1788,옷장방향제,1210.0,5080.0,3.3,77.3,0.29,1.66,15,3
1867,디퓨져,5750.0,31500.0,20.3,451.3,0.38,1.53,15,3
1879,자동차전화번호판,1310.0,8600.0,3.7,104.5,0.31,1.29,15,3
1882,차량번호판,1410.0,7500.0,2.7,69.3,0.21,0.99,15,3
1888,향초,3210.0,14600.0,5.7,95.0,0.19,0.7,15,3
1909,자동차번호판,1900.0,8750.0,3.4,50.9,0.2,0.63,15,3
1937,화장실방향제,1830.0,8750.0,4.5,94.5,0.27,1.17,15,3
1943,퍼퓸,1840.0,8340.0,0.7,5.0,0.04,0.07,15,3
2019,밍크목도리,1110.0,12800.0,6.5,186.0,0.62,1.51,15,3
2036,시트러스향,1050.0,5990.0,0.3,12.3,0.04,0.23,15,3
2116,방향,2930.0,4470.0,1.5,0.0,0.06,0.0,10,2
2126,집들이선물추천,2550.0,13500.0,3.6,64.4,0.15,0.51,15,3
2189,열쇠고리,3870.0,14300.0,14.3,132.5,0.4,0.99,15,3
2234,조말론차량용방향제,3290.0,23300.0,17.5,433.5,0.56,1.99,14,3
2287,머스크향,2060.0,11000.0,0.6,0.3,0.04,0.01,14,3
2307,담배냄새제거,1070.0,3630.0,2.9,45.8,0.28,1.36,15,3
2354,크리스마스트리,38500.0,213600.0,327.7,2417.7,0.87,1.16,15,3
2355,크리스마스장식,14400.0,75400.0,191.4,1056.9,1.35,1.43,15,3
2356,미니트리,3310.0,20300.0,14.9,117.8,0.46,0.59,15,3
2357,크리스마스트리대여,1660.0,5760.0,69.7,327.4,4.31,5.8,12,2
2358,크리스마스트리장식,2690.0,9180.0,41.8,174.5,1.59,1.94,15,3
