,키워드 ID,상태,키워드,키워드 속성,입찰가 유형,입찰가,품질지수,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",노출가능 광고개수(PC),키워드 검색수,검색 상단 노출율(%)
45,nkw-a001-01-000004934212976,중지 : 키워드 검토중,복합식가습기,,키워드,2620.0,4.0,0,0,0,0,0,15.0,,0.0
46,nkw-a001-01-000004934212934,중지 : 키워드 검토중,블루라이트,,키워드,1860.0,4.0,0,0,0,0,0,15.0,,0.0
47,nkw-a001-01-000004934212985,중지 : 키워드 검토중,사무실가습기,,키워드,7900.0,4.0,0,0,0,0,0,15.0,,0.0
48,nkw-a001-01-000004934212905,중지 : 키워드 검토중,사회공헌,,키워드,13260.0,4.0,0,0,0,0,0,15.0,,0.0
49,nkw-a001-01-000004934212824,중지 : 키워드 검토중,샤넬쿠션,,키워드,980.0,4.0,0,0,0,0,0,15.0,,0.0
50,nkw-a001-01-000004934212946,중지 : 키워드 검토중,선스틱,,키워드,3400.0,4.0,0,0,0,0,0,15.0,,0.0
51,nkw-a001-01-000004934212920,중지 : 키워드 검토중,선크림,,키워드,5070.0,4.0,0,0,0,0,0,15.0,,0.0
52,nkw-a001-01-000004934212924,중지 : 키워드 검토중,선크림추천,,키워드,4720.0,4.0,0,0,0,0,0,15.0,,0.0
53,nkw-a001-01-000004934212879,중지 : 키워드 검토중,세라마이드,,키워드,3170.0,4.0,0,0,0,0,0,15.0,,0.0
54,nkw-a001-01-000004934212875,중지 : 키워드 검토중,세라마이드크림,,키워드,3400.0,4.0,0,0,0,0,0,15.0,,0.0
55,nkw-a001-01-000004934212995,중지 : 키워드 검토중,세척편한가습기,,키워드,2140.0,4.0,0,0,0,0,0,15.0,,0.0
56,nkw-a001-01-000004934212978,중지 : 키워드 검토중,소형가습기,,키워드,3000.0,4.0,0,0,0,0,0,15.0,,0.0
57,nkw-a001-01-000004934212887,중지 : 키워드 검토중,수딩젤,,키워드,4640.0,4.0,0,0,0,0,0,15.0,,0.0
58,nkw-a001-01-000004934212897,중지 : 키워드 검토중,수분,,키워드,1870.0,4.0,0,0,0,0,0,15.0,,0.0
59,nkw-a001-01-000004934212865,중지 : 키워드 검토중,수분크림,,키워드,7780.0,4.0,0,0,0,0,0,15.0,,0.0
60,nkw-a001-01-000004934212866,중지 : 키워드 검토중,수분크림추천,,키워드,6410.0,4.0,0,0,0,0,0,15.0,,0.0
61,nkw-a001-01-000004934212871,중지 : 키워드 검토중,스킨,,키워드,3540.0,4.0,0,0,0,0,0,15.0,,0.0
62,nkw-a001-01-000004934212991,중지 : 키워드 검토중,스테인레스가습기,,키워드,1460.0,4.0,0,0,0,0,0,15.0,,0.0
63,nkw-a001-01-000004934212972,중지 : 키워드 검토중,스텐가습기,,키워드,2310.0,4.0,0,0,0,0,0,15.0,,0.0
64,nkw-a001-01-000004934212964,중지 : 키워드 검토중,스텐가열식가습기,,키워드,1120.0,4.0,0,0,0,0,0,15.0,,0.0
65,nkw-a001-01-000004934212912,중지 : 키워드 검토중,시카크림,,키워드,6060.0,4.0,0,0,0,0,0,15.0,,0.0
66,nkw-a001-01-000004934212983,중지 : 키워드 검토중,신생아가습기,,키워드,3250.0,4.0,0,0,0,0,0,15.0,,0.0
67,nkw-a001-01-000004934212948,중지 : 키워드 검토중,썬스틱,,키워드,2510.0,4.0,0,0,0,0,0,15.0,,0.0
68,nkw-a001-01-000004934212922,중지 : 키워드 검토중,썬크림추천,,키워드,4150.0,4.0,0,0,0,0,0,15.0,,0.0
69,nkw-a001-01-000004934212987,중지 : 키워드 검토중,아기가습기,,키워드,2450.0,4.0,0,0,0,0,0,15.0,,0.0
70,nkw-a001-01-000004934212899,중지 : 키워드 검토중,아미노산,,키워드,2750.0,4.0,0,0,0,0,0,15.0,,0.0
71,nkw-a001-01-000004934212877,중지 : 키워드 검토중,안티에이징,,키워드,6980.0,4.0,0,0,0,0,0,15.0,,0.0
72,nkw-a001-01-000004934212918,중지 : 키워드 검토중,에멀전,,키워드,1820.0,4.0,0,0,0,0,0,15.0,,0.0
73,nkw-a001-01-000004934212836,중지 : 키워드 검토중,에어쿠션,,키워드,3680.0,4.0,0,0,0,0,0,15.0,,0.0
74,nkw-a001-01-000004934212868,중지 : 키워드 검토중,여자스킨로션추천,,키워드,2850.0,4.0,0,0,0,0,0,15.0,,0.0
75,nkw-a001-01-000004934212873,중지 : 키워드 검토중,영양크림,,키워드,3980.0,4.0,0,0,0,0,0,15.0,,0.0
76,nkw-a001-01-000004934212859,중지 : 키워드 검토중,오리털이불,,키워드,2070.0,4.0,0,0,0,0,0,15.0,,0.0
77,nkw-a001-01-000004934212936,중지 : 키워드 검토중,올리브영선크림,,키워드,490.0,4.0,0,0,0,0,0,15.0,,0.0
78,nkw-a001-01-000004934212817,중지 : 키워드 검토중,올리브영쿠션,,키워드,460.0,4.0,0,0,0,0,0,3.0,,0.0
79,nkw-a001-01-000004934212815,중지 : 키워드 검토중,올리브영쿠션추천,,키워드,380.0,4.0,0,0,0,0,0,15.0,,0.0
80,nkw-a001-01-000004934212861,중지 : 키워드 검토중,원형러그,,키워드,1840.0,4.0,0,0,0,0,0,15.0,,0.0
81,nkw-a001-01-000004934212903,중지 : 키워드 검토중,윤리경영,,키워드,3120.0,4.0,0,0,0,0,0,15.0,,0.0
82,nkw-a001-01-000004934212962,중지 : 키워드 검토중,자연가습기,,키워드,1200.0,4.0,0,0,0,0,0,15.0,,0.0
83,nkw-a001-01-000004934212979,중지 : 키워드 검토중,자연기화식가습기,,키워드,3800.0,4.0,0,0,0,0,0,15.0,,0.0
84,nkw-a001-01-000004934212863,중지 : 키워드 검토중,자충매트,,키워드,1130.0,4.0,0,0,0,0,0,15.0,,0.0
85,nkw-a001-01-000004934212914,중지 : 키워드 검토중,재생크림,,키워드,4020.0,4.0,0,0,0,0,0,15.0,,0.0
86,nkw-a001-01-000004934212955,중지 : 키워드 검토중,제올라이트,,키워드,1450.0,4.0,0,0,0,0,0,15.0,,0.0
88,nkw-a001-01-000004934212953,중지 : 키워드 검토중,천연가습기,,키워드,2040.0,4.0,0,0,0,0,0,15.0,,0.0
89,nkw-a001-01-000004934212813,중지 : 키워드 검토중,철벽녀쿠션,,키워드,800.0,4.0,0,0,0,0,0,15.0,,0.0
90,nkw-a001-01-000004934212889,중지 : 키워드 검토중,친환경기업,,키워드,6380.0,4.0,0,0,0,0,0,15.0,,0.0
91,nkw-a001-01-000004934212828,중지 : 키워드 검토중,컴팩트,,키워드,1700.0,4.0,0,0,0,0,0,15.0,,0.0
92,nkw-a001-01-000004934212820,중지 : 키워드 검토중,콤팩트,,키워드,740.0,4.0,0,0,0,0,0,15.0,,0.0
93,nkw-a001-01-000004934212989,중지 : 키워드 검토중,탁상용가습기,,키워드,4150.0,4.0,0,0,0,0,0,15.0,,0.0
94,nkw-a001-01-000004934212885,중지 : 키워드 검토중,탄력크림,,키워드,6360.0,4.0,0,0,0,0,0,15.0,,0.0
95,nkw-a001-01-000004934212901,중지 : 키워드 검토중,탄소중립,,키워드,3260.0,4.0,0,0,0,0,0,15.0,,0.0
96,nkw-a001-01-000004934212930,중지 : 키워드 검토중,톤업선크림,,키워드,5750.0,4.0,0,0,0,0,0,15.0,,0.0
97,nkw-a001-01-000004934212928,중지 : 키워드 검토중,톤업크림,,키워드,3560.0,4.0,0,0,0,0,0,15.0,,0.0
98,nkw-a001-01-000004934212993,중지 : 키워드 검토중,통세척가습기,,키워드,2360.0,4.0,0,0,0,0,0,15.0,,0.0
99,nkw-a001-01-000004934212891,중지 : 키워드 검토중,피부건선,,키워드,14510.0,4.0,0,0,0,0,0,15.0,,0.0
100,nkw-a001-01-000004934212893,중지 : 키워드 검토중,히알루론산,,키워드,3930.0,4.0,0,0,0,0,0,15.0,,0.0
1,nkw-a001-01-000004934219378,중지 : 키워드 검토중,144HZ모니터,,키워드,1170.0,4.0,0,0,0,0,0,15.0,,0.0
2,nkw-a001-01-000004934219278,중지 : 키워드 검토중,1TB,,키워드,1150.0,4.0,0,0,0,0,0,15.0,,0.0
3,nkw-a001-01-000004934219280,중지 : 키워드 검토중,1테라,,키워드,820.0,4.0,0,0,0,0,0,15.0,,0.0
4,nkw-a001-01-000004934219273,중지 : 키워드 검토중,1테라외장하드,,키워드,2770.0,4.0,0,0,0,0,0,15.0,,0.0
5,nkw-a001-01-000004934219349,중지 : 키워드 검토중,27인치모니터,,키워드,5280.0,4.0,0,0,0,0,0,15.0,,0.0
6,nkw-a001-01-000004934219388,중지 : 키워드 검토중,32인치,,키워드,1660.0,4.0,0,0,0,0,0,15.0,,0.0
7,nkw-a001-01-000004934219296,중지 : 키워드 검토중,C타입USB,,키워드,1640.0,4.0,0,0,0,0,0,15.0,,0.0
8,nkw-a001-01-000004934219282,중지 : 키워드 검토중,HDD1TB,,키워드,860.0,4.0,0,0,0,0,0,15.0,,0.0
9,nkw-a001-01-000004934219374,중지 : 키워드 검토중,HP모니터,,키워드,2860.0,4.0,0,0,0,0,0,15.0,,0.0
10,nkw-a001-01-000004934219392,중지 : 키워드 검토중,LG27인치모니터,,키워드,990.0,4.0,0,0,0,0,0,15.0,,0.0
11,nkw-a001-01-000004934219394,중지 : 키워드 검토중,LG32인치모니터,,키워드,1370.0,4.0,0,0,0,0,0,15.0,,0.0
12,nkw-a001-01-000004934219390,중지 : 키워드 검토중,LG4K모니터,,키워드,670.0,4.0,0,0,0,0,0,15.0,,0.0
13,nkw-a001-01-000004934219366,중지 : 키워드 검토중,LG모니터,,키워드,2450.0,4.0,0,0,0,0,0,15.0,,0.0
14,nkw-a001-01-000004934219376,중지 : 키워드 검토중,LG모니터27인치,,키워드,1410.0,4.0,0,0,0,0,0,15.0,,0.0
15,nkw-a001-01-000004934219386,중지 : 키워드 검토중,PC모니터,,키워드,3010.0,4.0,0,0,0,0,0,15.0,,0.0
16,nkw-a001-01-000004934219368,중지 : 키워드 검토중,PLC,,키워드,4180.0,4.0,0,0,0,0,0,15.0,,0.0
17,nkw-a001-01-000004934219300,중지 : 키워드 검토중,PORTABLE,,키워드,400.0,4.0,0,0,0,0,0,15.0,,0.0
18,nkw-a001-01-000004934219311,중지 : 키워드 검토중,SSD외장하드,,키워드,1930.0,4.0,0,0,0,0,0,15.0,,0.0
19,nkw-a001-01-000004934219288,중지 : 키워드 검토중,SSD외장하드케이스,,키워드,570.0,4.0,0,0,0,0,0,15.0,,0.0
20,nkw-a001-01-000004934219313,중지 : 키워드 검토중,STORAGE,,키워드,6840.0,4.0,0,0,0,0,0,15.0,,0.0
21,nkw-a001-01-000004934219294,중지 : 키워드 검토중,USB1테라,,키워드,580.0,4.0,0,0,0,0,0,15.0,,0.0
22,nkw-a001-01-000004934219293,중지 : 키워드 검토중,USB2.0,,키워드,1350.0,4.0,0,0,0,0,0,15.0,,0.0
23,nkw-a001-01-000004934219295,중지 : 키워드 검토중,USB256,,키워드,1450.0,4.0,0,0,0,0,0,15.0,,0.0
24,nkw-a001-01-000004934219297,중지 : 키워드 검토중,USB512,,키워드,720.0,4.0,0,0,0,0,0,15.0,,0.0
25,nkw-a001-01-000004934219307,중지 : 키워드 검토중,USB메모리,,키워드,17680.0,4.0,0,0,0,0,0,15.0,,0.0
26,nkw-a001-01-000004934219292,중지 : 키워드 검토중,USB용량,,키워드,650.0,4.0,0,0,0,0,0,15.0,,0.0
27,nkw-a001-01-000004934219299,중지 : 키워드 검토중,WD,,키워드,870.0,4.0,0,0,0,0,0,15.0,,0.0
28,nkw-a001-01-000004934219255,중지 : 키워드 검토중,WPS,,키워드,1800.0,4.0,0,0,0,0,0,15.0,,0.0
29,nkw-a001-01-000004934219337,중지 : 키워드 검토중,게이밍모니터,,키워드,2320.0,4.0,0,0,0,0,0,15.0,,0.0
30,nkw-a001-01-000004934219384,중지 : 키워드 검토중,게이밍모니터추천,,키워드,1140.0,4.0,0,0,0,0,0,15.0,,0.0
31,nkw-a001-01-000004934219360,중지 : 키워드 검토중,고물연대,,키워드,90.0,4.0,0,0,0,0,0,15.0,,0.0
32,nkw-a001-01-000004934219354,중지 : 키워드 검토중,고철시세,,키워드,500.0,4.0,0,0,0,0,0,15.0,,0.0
33,nkw-a001-01-000004934219256,중지 : 키워드 검토중,광고,,키워드,7130.0,4.0,0,0,0,0,0,15.0,,0.0
34,nkw-a001-01-000004934219263,중지 : 키워드 검토중,기가바이트메인보드,,키워드,560.0,4.0,0,0,0,0,0,15.0,,0.0
