연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
잠옷,15600.0,128600.0,268.1,2951.4,1.78,2.5,15,3
커플잠옷,6320.0,57800.0,166.0,2431.6,2.74,4.49,15,3
홈웨어,3570.0,22400.0,67.3,484.8,1.96,2.34,15,3
잠옷브랜드,1230.0,6080.0,24.9,203.7,2.07,3.59,15,3
수면잠옷,7740.0,74800.0,42.4,1237.0,0.57,1.77,15,3
실내복,1160.0,8590.0,11.5,120.7,1.04,1.51,15,3
남자잠옷,2520.0,15900.0,29.6,417.3,1.25,2.8,15,3
여성잠옷,2030.0,17000.0,36.9,505.3,1.92,3.24,15,3
내복,4660.0,25200.0,18.3,260.6,0.41,1.1,15,3
잠옷바지,1660.0,15100.0,12.3,98.5,0.78,0.71,15,3
남자파자마,820.0,4660.0,10.0,93.1,1.28,2.19,15,3
여자잠옷,1010.0,9470.0,20.5,315.9,2.11,3.62,15,3
원마일웨어,1220.0,4210.0,4.1,51.5,0.35,1.31,15,3
룸슈즈,1030.0,4120.0,4.7,25.4,0.46,0.66,15,3
원피스잠옷,1350.0,12400.0,15.3,234.2,1.18,2.05,15,3
실크잠옷,1250.0,9950.0,11.3,212.2,0.93,2.3,15,3
내의,1170.0,5200.0,6.5,74.9,0.58,1.53,15,3
기모잠옷,990.0,7660.0,10.1,108.5,1.05,1.51,15,3
조스라운지,1430.0,7300.0,22.8,278.0,1.65,4.06,15,3
파자마파티,1310.0,8970.0,4.7,59.3,0.38,0.71,15,3
뷔스티에,1330.0,7910.0,0.9,0.7,0.08,0.01,15,3
수면잠옷세트,1040.0,9910.0,7.1,125.6,0.71,1.35,15,3
극세사잠옷,3200.0,30100.0,24.9,570.1,0.81,2.02,15,3
남성잠옷,1760.0,12300.0,23.1,259.6,1.36,2.26,15,3
극세사수면잠옷,970.0,7630.0,7.2,144.2,0.77,2.03,15,3
남자수면잠옷,840.0,6350.0,6.9,68.2,0.87,1.15,15,3
겨울잠옷,4550.0,31300.0,44.5,588.7,1.01,2.01,15,3
수면바지,5110.0,34200.0,14.3,247.9,0.3,0.78,15,3
빅사이즈잠옷,900.0,8310.0,29.7,542.5,3.4,7.01,15,3
여성티셔츠,1910.0,25100.0,22.2,167.6,1.23,0.73,15,3
원피스,33700.0,221500.0,111.7,1009.8,0.36,0.5,15,3
여성원피스,1610.0,22000.0,20.9,219.8,1.38,1.1,15,3
롱원피스,2630.0,41400.0,16.1,148.8,0.65,0.4,15,3
여자쇼핑몰,3020.0,10900.0,85.3,395.3,2.96,3.92,15,3
20대여자쇼핑몰,1300.0,5780.0,42.8,261.9,3.48,4.98,15,3
여름원피스,2820.0,29600.0,61.7,556.5,2.28,2.05,15,3
하객원피스,6740.0,60200.0,137.3,986.2,2.1,1.77,15,3
샌들,1690.0,8440.0,7.7,37.0,0.49,0.48,15,3
미니원피스,1400.0,15600.0,12.1,142.3,0.9,1.0,15,3
하객룩,15600.0,102500.0,302.8,2355.0,1.99,2.5,15,3
셔츠원피스,1010.0,12200.0,2.7,10.5,0.28,0.1,15,3
드레스대여,1520.0,13300.0,42.7,545.0,2.9,4.37,15,3
겨울원피스,7060.0,82700.0,70.0,724.8,1.03,0.94,15,3
여성의류쇼핑몰,5620.0,54700.0,227.0,2539.1,4.27,5.06,15,3
트위드원피스,4740.0,47300.0,20.9,59.2,0.46,0.14,15,3
블라우스,4680.0,42800.0,33.1,205.5,0.75,0.53,15,3
여자원피스,830.0,4870.0,9.3,34.0,1.18,0.76,15,3
상견례원피스,1190.0,11900.0,10.9,158.2,0.94,1.37,15,3
여자청바지,1600.0,16000.0,25.7,152.0,1.67,1.04,15,3
30대여성쇼핑몰,2110.0,17900.0,66.9,729.3,3.3,4.43,15,3
여성블라우스,980.0,13400.0,13.7,85.6,1.46,0.7,15,3
스커트,3210.0,30800.0,10.0,116.5,0.33,0.42,15,3
바디수트,840.0,7790.0,6.3,5.4,0.79,0.08,15,3
점프수트,2160.0,17800.0,4.5,11.6,0.23,0.08,15,3
여성가디건,4480.0,44800.0,43.1,246.3,1.01,0.61,15,3
여성바지,1510.0,15300.0,16.5,119.1,1.14,0.85,15,3
하객룩쇼핑몰,1140.0,4660.0,61.7,236.9,5.52,5.45,15,3
여성자켓,3870.0,44300.0,28.7,185.8,0.78,0.46,15,3
가디건,13200.0,118700.0,34.1,353.5,0.27,0.33,15,3
뷔스티에원피스,2060.0,22900.0,7.7,91.8,0.39,0.44,15,3
가을원피스,2270.0,27300.0,23.5,228.4,1.11,0.94,15,3
가을옷,1310.0,8350.0,8.6,136.2,0.7,1.81,15,3
플리츠원피스,950.0,12100.0,11.1,108.5,1.23,0.98,15,3
핸드메이드코트,8620.0,84000.0,121.8,1335.0,1.46,1.72,15,3
가죽자켓,6930.0,76100.0,80.1,673.3,1.22,0.97,15,3
정장원피스,1230.0,14600.0,31.3,257.6,2.61,1.91,15,3
KL,1290.0,5160.0,15.7,112.8,1.26,2.38,15,3
롱스커트,2730.0,35100.0,13.6,115.6,0.52,0.36,15,3
니트원피스,8890.0,117100.0,51.0,507.1,0.6,0.47,15,3
20대하객룩,950.0,5290.0,21.7,135.3,2.35,2.77,15,3
의류브랜드,1110.0,3200.0,1.1,9.5,0.11,0.32,15,3
여성복,1280.0,4240.0,19.6,53.3,1.6,1.36,15,3
여성오피스룩,1000.0,6270.0,59.8,221.1,6.31,3.86,15,3
