연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
옷브랜드,1510.0,9300.0,3.5,102.6,0.25,1.2,15,3
누빔자켓,2470.0,21800.0,8.5,41.3,0.36,0.21,15,3
펌프스,1340.0,9240.0,8.3,55.5,0.66,0.66,15,3
조끼,7140.0,55600.0,36.9,147.0,0.54,0.29,15,3
치마레깅스,1270.0,14100.0,17.4,303.3,1.43,2.31,15,3
카라맨투맨,830.0,6580.0,1.7,7.3,0.22,0.13,15,3
케이프코트,2870.0,32800.0,8.3,77.2,0.3,0.26,15,3
여성경량롱패딩,1230.0,12700.0,8.3,41.7,0.7,0.35,15,3
여성울자켓,1590.0,15700.0,9.5,59.6,0.62,0.41,15,3
부클가디건,940.0,10800.0,2.1,13.1,0.23,0.14,15,3
맥코트,2650.0,13100.0,1.6,1.7,0.07,0.02,15,3
모헤어니트,850.0,8020.0,1.6,0.3,0.2,0.01,15,3
바지,5310.0,39500.0,12.3,181.3,0.25,0.5,15,3
깔깔이,11300.0,72200.0,51.3,923.7,0.47,1.36,15,3
남성조끼,1420.0,7780.0,9.6,42.1,0.7,0.59,15,3
알파카코트,1100.0,11700.0,5.5,35.8,0.52,0.33,15,3
트렌치코트,6970.0,68800.0,20.5,20.8,0.32,0.04,15,3
바캉스원피스,820.0,8400.0,49.6,375.3,6.2,4.87,15,3
블랙원피스,1300.0,14000.0,4.3,5.7,0.34,0.05,15,3
파티드레스,1110.0,12200.0,36.7,641.0,3.47,5.62,15,3
니트스커트,2640.0,24100.0,4.5,19.8,0.18,0.09,15,3
니트투피스,1300.0,17300.0,5.7,25.2,0.46,0.16,15,3
휴양지원피스,2210.0,20000.0,116.7,840.7,5.5,4.57,15,3
자켓,6320.0,49700.0,8.3,22.5,0.14,0.05,15,3
여성등산화,2210.0,14600.0,16.1,184.6,0.76,1.36,15,3
코트,12200.0,115100.0,25.8,139.3,0.23,0.13,15,3
코듀로이원피스,1330.0,17500.0,5.5,28.4,0.44,0.18,15,3
결혼식원피스,930.0,10000.0,15.1,179.7,1.7,1.95,15,3
라이더자켓,2760.0,23900.0,7.9,12.9,0.31,0.06,15,3
반집업니트,3330.0,27100.0,17.9,365.1,0.56,1.45,15,3
롱니트원피스,1060.0,14800.0,4.5,54.0,0.45,0.4,15,3
퀼팅자켓,6440.0,61300.0,11.4,91.0,0.19,0.16,15,3
하객룩원피스,1430.0,8710.0,29.5,161.7,2.12,2.02,15,3
모조에스핀원피스,1280.0,21500.0,6.9,160.7,0.57,0.83,15,3
니트롱원피스,860.0,14900.0,4.2,23.6,0.51,0.17,15,3
긴팔티,1520.0,8620.0,2.1,8.1,0.15,0.11,15,3
트레이닝복,6670.0,55700.0,43.2,505.8,0.69,0.99,15,3
반바지,1960.0,12500.0,2.1,15.7,0.12,0.14,15,3
린넨,2950.0,9560.0,7.8,77.5,0.28,0.88,15,3
재킷,1100.0,4680.0,1.8,10.5,0.18,0.25,15,3
겨울하객원피스,1240.0,9320.0,18.8,132.6,1.56,1.51,15,3
후드원피스,1470.0,19700.0,3.7,91.8,0.26,0.51,15,3
반지,7420.0,76100.0,69.8,611.0,0.99,0.88,15,3
다운베스트,1050.0,6270.0,1.6,14.7,0.16,0.26,15,3
캐시미어100코트,1580.0,17100.0,8.0,53.7,0.53,0.35,15,3
정장,6790.0,35300.0,21.3,186.2,0.33,0.58,15,3
청바지,11500.0,79300.0,37.9,409.6,0.35,0.57,15,3
남성패딩조끼,1880.0,12800.0,12.8,85.0,0.72,0.72,15,3
기모원피스,1670.0,22400.0,9.9,58.5,0.62,0.28,15,3
여성겨울원피스,950.0,10500.0,20.9,158.8,2.27,1.64,15,3
롱가디건,2510.0,25900.0,9.1,39.1,0.39,0.17,15,3
데님,1770.0,7460.0,1.0,0.3,0.06,0.01,15,3
백팩,17900.0,124200.0,77.4,825.5,0.46,0.72,15,3
집업,2580.0,12600.0,5.4,17.1,0.22,0.15,15,3
코듀로이자켓,2010.0,16300.0,6.5,2.0,0.35,0.02,15,3
신발종류,1000.0,9070.0,12.8,252.2,1.34,3.0,15,3
여자가디건,1210.0,10200.0,7.9,18.3,0.69,0.2,15,3
여성코트,4840.0,54100.0,30.1,290.2,0.65,0.58,15,3
트위드자켓,11700.0,139100.0,43.7,225.4,0.39,0.18,15,3
여자구두,2690.0,26200.0,58.3,596.3,2.26,2.47,15,3
여자니트,1170.0,8690.0,5.3,22.7,0.48,0.29,15,3
반코트,2120.0,19100.0,6.1,67.8,0.31,0.39,15,3
여자숏패딩,1910.0,15100.0,6.9,84.7,0.38,0.61,15,3
여성조끼,2530.0,26200.0,25.0,138.8,1.03,0.58,15,3
롱코트,3160.0,26100.0,7.2,64.4,0.24,0.27,15,3
후드코트,1370.0,13000.0,1.7,5.7,0.14,0.05,15,3
롱후리스,3360.0,41300.0,15.9,214.2,0.49,0.55,15,3
여성의류,3640.0,15500.0,72.9,286.6,2.1,2.01,15,3
여성퀼팅자켓,1380.0,11000.0,4.8,24.9,0.36,0.25,15,3
여성트레이닝세트,3140.0,21100.0,22.9,274.3,0.77,1.4,15,3
여성목폴라,1010.0,10400.0,8.9,60.3,0.91,0.62,15,3
여성쇼핑몰,3260.0,13900.0,79.9,440.2,2.57,3.44,15,3
레더자켓,2230.0,20900.0,5.1,10.1,0.24,0.06,15,3
블랙프라이데이,119700.0,381700.0,439.9,3028.8,0.39,0.86,12,2
여자정장,1570.0,11900.0,19.8,269.2,1.34,2.45,15,3
여성롱코트,1280.0,13500.0,12.9,61.6,1.05,0.49,15,3
봄버자켓,1950.0,11200.0,1.9,4.4,0.1,0.05,15,3
잠바,2840.0,17600.0,12.2,102.2,0.45,0.62,15,3
플리츠스커트,3510.0,37700.0,10.8,71.4,0.32,0.21,15,3
더플코트,4050.0,24800.0,5.1,4.7,0.14,0.03,15,3
양가죽자켓,970.0,12900.0,9.7,194.8,1.07,1.66,15,3
경량패딩,76800.0,548100.0,433.5,3948.5,0.59,0.77,15,3
퀼팅점퍼,3120.0,31600.0,5.7,45.2,0.19,0.16,15,3
여성롱패딩,4170.0,41900.0,26.3,260.5,0.66,0.67,15,3
간절기아우터,810.0,8040.0,3.3,81.1,0.42,1.07,15,3
캐시미어니트,5870.0,61100.0,56.5,689.6,1.01,1.22,15,3
오피스룩,4830.0,24500.0,170.9,830.9,3.71,3.67,15,3
클리어런스,2550.0,7460.0,3.2,42.4,0.13,0.62,15,3
니트조끼,6190.0,77100.0,32.1,394.5,0.55,0.56,15,3
여성겨울코트,1650.0,16600.0,26.4,185.2,1.65,1.2,15,3
숏코트,4080.0,43200.0,7.5,5.3,0.2,0.02,15,3
지갑,8320.0,61900.0,9.9,28.0,0.13,0.05,15,3
핸드백,2570.0,16000.0,15.3,327.3,0.63,2.23,15,3
비지니스캐주얼,960.0,4350.0,2.3,50.6,0.25,1.24,15,3
겨울스커트,1500.0,16900.0,12.4,57.6,0.85,0.37,15,3
크롭가디건,1250.0,15200.0,3.5,64.8,0.3,0.47,15,3
울스커트,1170.0,12200.0,5.9,31.9,0.52,0.29,15,3
울가디건,820.0,7010.0,2.7,8.5,0.34,0.14,15,3
여성겨울자켓,1200.0,14400.0,13.3,68.3,1.15,0.51,15,3
여성가죽자켓,990.0,10500.0,12.3,118.3,1.32,1.23,15,3
라인원피스,1340.0,15200.0,25.1,231.6,1.97,1.68,15,3
린원피스,890.0,12300.0,14.8,201.2,1.74,1.81,15,3
캐시미어코트,6670.0,70500.0,28.0,204.4,0.44,0.32,15,3
져지,1110.0,5700.0,1.2,2.3,0.12,0.05,15,3
신발,12500.0,79700.0,66.3,586.9,0.56,0.81,15,3
더블코트,1400.0,7500.0,2.2,8.3,0.17,0.12,15,3
여자바지,980.0,8520.0,12.5,76.8,1.33,0.98,15,3
COUNT,3590.0,8110.0,0.0,0.0,0.0,0.0,3,3
필라테스복,4180.0,45000.0,159.3,2077.7,3.91,4.88,15,3
요가복,8160.0,77800.0,290.5,3970.6,3.67,5.44,15,3
보스턴백,7330.0,51300.0,17.9,164.5,0.26,0.35,15,3
운동화,25100.0,176300.0,139.8,1470.6,0.59,0.91,15,3
남자캐시미어니트,1010.0,6400.0,8.5,42.0,0.87,0.7,15,3
캐시미어100니트,820.0,9890.0,7.3,136.9,0.93,1.49,15,3
여성패딩코트,990.0,9230.0,7.7,45.2,0.8,0.53,15,3
트러커자켓,1330.0,7380.0,1.5,4.3,0.13,0.07,15,3
패딩,43800.0,314800.0,241.1,2764.9,0.57,0.94,15,3
바캉스룩,1380.0,9480.0,92.0,705.0,6.92,8.02,15,3
스포츠브랜드,2520.0,10500.0,11.1,86.9,0.46,0.89,15,3
다운점퍼,1370.0,6240.0,3.7,29.4,0.28,0.51,15,3
썬바이저,960.0,4500.0,1.4,56.3,0.16,1.36,15,3
여자코트브랜드,930.0,5260.0,3.6,3.3,0.4,0.07,15,3
캐시미어가디건,1270.0,12700.0,11.8,105.0,0.97,0.9,15,3
여성겨울모자,1070.0,14100.0,14.1,163.3,1.35,1.24,15,3
트위드가디건,930.0,11800.0,1.8,18.7,0.2,0.18,15,3
로엠원피스,1530.0,19600.0,11.1,68.3,0.76,0.39,15,3
피로연원피스,1670.0,11700.0,21.9,203.4,1.36,1.88,15,3
하객패션,820.0,5700.0,9.5,78.8,1.2,1.52,15,3
운동복,5440.0,32500.0,87.3,1368.8,1.69,4.51,15,3
슬리퍼,19500.0,100700.0,72.1,818.3,0.39,0.88,15,3
가을하객룩,1320.0,9380.0,14.9,102.5,1.17,1.21,15,3
디자이너브랜드,1430.0,5480.0,21.1,108.9,1.54,2.15,15,3
버킷햇,8240.0,70500.0,32.7,762.0,0.42,1.18,15,3
결혼식하객룩,7070.0,96700.0,99.9,1377.2,1.48,1.57,15,3
여성의류브랜드,1020.0,5290.0,13.9,105.3,1.45,2.16,15,3
가을패션,950.0,7500.0,2.9,108.8,0.33,1.58,15,3
상견례옷차림,1240.0,16600.0,14.1,300.0,1.18,1.96,15,3
남자버킷햇,920.0,4490.0,6.1,52.3,0.7,1.28,15,3
내셔널지오그래픽패딩,18300.0,303700.0,67.3,2776.9,0.39,0.98,15,3
비비안웨스트우드가디건,3100.0,39700.0,17.9,457.6,0.61,1.27,15,3
폴로맨투맨,5100.0,57100.0,28.0,472.8,0.58,0.9,15,3
스투시후드티,3370.0,36900.0,29.8,407.0,0.94,1.2,15,3
내셔널지오그래픽숏패딩,1690.0,19300.0,2.7,173.8,0.17,0.97,15,3
무스너클버니스웨터,1070.0,16400.0,3.6,163.1,0.36,1.07,15,3
내셔널지오그래픽맨투맨,3590.0,49000.0,16.2,291.8,0.48,0.64,15,3
내셔널지오그래픽후리스,6030.0,94300.0,26.7,737.0,0.46,0.82,15,3
내셔널지오그래픽롱패딩,3410.0,28700.0,6.1,128.9,0.19,0.48,15,3
타미맨투맨,1170.0,14900.0,4.4,61.4,0.4,0.45,15,3
스투시,31200.0,191800.0,69.7,659.3,0.24,0.37,15,3
NATIONALGEOGRAPHIC,1280.0,8180.0,2.1,251.6,0.18,3.32,15,3
내셔널지오그래픽경량패딩,13700.0,168800.0,76.3,2671.5,0.57,1.67,15,3
네셔널지오그래픽후리스,3560.0,39200.0,18.2,638.1,0.53,1.72,15,3
네셔널지오그래픽,1820.0,25900.0,7.9,324.9,0.45,1.35,15,3
폴로브이넥니트,1220.0,17500.0,4.5,72.7,0.38,0.46,15,3
내셔널지오그래픽바지,1220.0,14500.0,7.5,245.5,0.65,1.85,15,3
폴로후드집업,1100.0,14400.0,5.3,77.7,0.51,0.59,15,3
내셔널지오그래픽바람막이,1210.0,12300.0,2.3,27.8,0.2,0.24,15,3
네셔널,990.0,6890.0,2.0,44.9,0.21,0.7,13,2
내셔널지오그래픽가방,1140.0,13700.0,2.6,65.0,0.25,0.52,15,3
내셔널지오그래픽플리스,1180.0,7930.0,3.1,27.7,0.27,0.38,15,3
내셔널패딩,830.0,11200.0,4.0,146.0,0.51,1.38,14,3
내셔널지오그래픽타루가,1090.0,12000.0,2.3,128.9,0.22,1.15,15,3
내셔널지오그래픽어패럴,1680.0,8330.0,4.0,94.0,0.25,1.21,10,2
내셔널지오그래픽매장,900.0,12200.0,1.5,14.1,0.18,0.13,7,2
내셔널지오그래픽패딩조끼,950.0,10000.0,2.6,74.3,0.29,0.8,15,3
내셔널,1430.0,8000.0,4.4,40.8,0.32,0.55,13,2
역시즌패딩,820.0,6740.0,7.2,88.3,0.91,1.41,15,3
내셔널지오그래픽백팩,1040.0,9410.0,0.9,31.2,0.1,0.37,15,3
내셔널지오그래픽캐리어,4970.0,54700.0,20.7,645.2,0.44,1.29,15,3
노트북백팩,3280.0,11000.0,12.3,107.2,0.4,1.06,15,3
슬링백,9600.0,63800.0,12.2,232.4,0.14,0.4,15,3
직장인백팩,1210.0,8590.0,5.7,61.3,0.5,0.77,15,3
남자백팩,3660.0,19500.0,11.7,122.0,0.34,0.68,15,3
남성백팩,1310.0,7430.0,8.0,61.5,0.64,0.91,15,3
남성가방,1350.0,6290.0,9.5,53.1,0.74,0.92,15,3
남자토트백,3140.0,14900.0,11.3,92.7,0.38,0.68,15,3
남자명품가방,890.0,5850.0,3.3,60.0,0.39,1.13,15,3
게스맨투맨,1350.0,16200.0,5.7,119.3,0.45,0.81,15,3
오버니삭스,1150.0,9200.0,4.2,81.6,0.38,0.96,15,3
폴로모자,2520.0,28400.0,6.9,176.0,0.29,0.68,15,3
폴로하프집업,840.0,6720.0,6.1,70.1,0.76,1.15,15,3
폴로반집업니트,1050.0,9980.0,4.2,56.2,0.43,0.62,14,3
폴로양말,1010.0,9200.0,6.1,89.2,0.63,1.04,15,3
다운,3640.0,14900.0,2.7,5.7,0.08,0.05,15,3
스노우피크패딩,4710.0,64900.0,13.5,650.1,0.3,1.1,15,3
폴로슬리퍼,1520.0,18400.0,15.2,226.3,1.03,1.31,15,3
POLO,1210.0,7080.0,3.1,63.8,0.27,1.0,15,3
스투시후드,890.0,6020.0,8.5,36.6,0.99,0.66,15,3
경량다운,950.0,4810.0,3.5,15.6,0.38,0.35,15,3
스투시후드집업,1200.0,14000.0,12.5,176.8,1.1,1.38,15,3
백팩추천,810.0,2990.0,0.7,1.3,0.09,0.05,15,3
남자메신저백,1360.0,6830.0,3.6,3.0,0.28,0.05,15,3
겨울패딩,4130.0,23400.0,24.3,209.0,0.62,0.95,15,3
덕다운패딩,1430.0,11600.0,6.1,121.7,0.44,1.12,15,3
덕다운,1880.0,8230.0,1.3,8.0,0.07,0.11,15,3
스투시맨투맨,1510.0,13300.0,14.2,149.6,0.98,1.21,15,3
남자크로스백,4570.0,29100.0,19.5,152.0,0.45,0.57,15,3
숏패딩,30200.0,258100.0,134.4,1537.7,0.46,0.64,15,3
여성숏패딩,3420.0,42100.0,18.6,197.5,0.57,0.51,15,3
남자숏패딩,5080.0,29400.0,23.6,218.0,0.49,0.79,15,3
롱패딩,33000.0,220200.0,98.0,851.6,0.31,0.41,15,3
무스탕,10200.0,95200.0,23.6,12.0,0.25,0.02,15,3
패딩조끼,28100.0,250400.0,121.4,1367.5,0.45,0.58,15,3
남자경량패딩,9370.0,53000.0,46.3,508.2,0.51,1.03,15,3
후드집업,12500.0,105000.0,37.2,722.2,0.31,0.75,15,3
패딩추천,3930.0,29300.0,16.5,98.5,0.44,0.36,15,3
여자패딩,4760.0,37500.0,27.3,155.9,0.6,0.45,15,3
남자패딩,11400.0,70700.0,54.7,351.7,0.5,0.54,15,3
남성패딩,4440.0,29000.0,27.8,256.5,0.66,0.95,15,3
여성경량패딩,12900.0,113200.0,95.5,988.9,0.76,0.94,15,3
나이키패딩,8140.0,96000.0,20.9,384.8,0.27,0.43,15,3
여성패딩,7860.0,94000.0,63.7,393.4,0.85,0.45,15,3
패딩코트,3010.0,21300.0,5.6,16.7,0.2,0.09,15,3
오리털패딩,1500.0,11200.0,14.7,109.8,1.02,1.04,15,3
여성패딩조끼,5350.0,73400.0,32.9,407.9,0.64,0.59,15,3
남성가디건,2240.0,11400.0,14.3,99.0,0.66,0.94,15,3
패딩브랜드,5080.0,42700.0,32.0,300.2,0.66,0.75,15,3
구스다운,5340.0,36600.0,21.1,272.3,0.42,0.8,15,3
여성패딩점퍼,1790.0,18800.0,17.1,96.6,0.99,0.55,15,3
구스패딩,2830.0,30300.0,15.1,197.2,0.55,0.7,15,3
여자롱패딩,4940.0,49600.0,40.2,406.5,0.84,0.88,15,3
웰론패딩,2200.0,14800.0,6.3,47.9,0.3,0.35,15,3
여성구스패딩,860.0,9780.0,4.5,38.1,0.54,0.42,15,3
남자롱패딩,5060.0,33900.0,26.9,392.6,0.56,1.24,15,3
유니클로패딩,2060.0,18200.0,12.7,165.4,0.65,0.97,11,2
숏패딩추천,1940.0,17000.0,8.2,102.4,0.45,0.65,15,3
남성숏패딩,940.0,5660.0,6.0,20.5,0.66,0.39,15,3
누빔패딩,3600.0,27600.0,11.9,35.5,0.34,0.14,15,3
나이키숏패딩,2510.0,30500.0,12.3,164.5,0.51,0.58,15,3
나이키경량패딩,2960.0,29400.0,11.1,41.6,0.39,0.15,15,3
나이키롱패딩,2770.0,26300.0,25.5,131.5,0.96,0.53,15,3
퀼팅패딩,3290.0,30900.0,8.0,72.5,0.25,0.25,15,3
남성구스다운,920.0,5090.0,5.6,61.4,0.63,1.29,15,3
유니클로경량패딩,5300.0,55000.0,21.5,870.7,0.42,1.68,15,3
야상패딩,1790.0,15900.0,6.4,49.0,0.38,0.33,15,3
여성구스다운,1030.0,8220.0,6.7,33.4,0.67,0.44,15,3
롱패딩브랜드,1100.0,6070.0,5.2,26.2,0.5,0.46,15,3
남자패딩조끼,5370.0,46700.0,29.1,450.3,0.57,1.04,15,3
남성경량패딩,4840.0,31300.0,34.5,204.0,0.74,0.7,15,3
커플패딩,1910.0,11800.0,15.2,131.5,0.82,1.18,15,3
남성패딩점퍼,1020.0,5400.0,10.7,62.5,1.11,1.23,15,3
숏패딩브랜드,850.0,6630.0,6.7,9.3,0.82,0.16,15,3
초경량패딩,1370.0,9140.0,12.5,149.8,0.96,1.75,15,3
패딩베스트,3130.0,24800.0,15.7,195.2,0.53,0.85,15,3
리버시블패딩,3040.0,27100.0,5.8,58.5,0.2,0.23,15,3
롱패딩추천,1310.0,5930.0,6.0,23.8,0.47,0.43,15,3
겨울잠바,2130.0,11900.0,18.2,114.5,0.89,1.03,15,3
겨울점퍼,2070.0,11000.0,7.8,59.5,0.39,0.58,15,3
다운패딩,2320.0,12100.0,6.3,34.8,0.29,0.31,15,3
남자패딩추천,840.0,3170.0,3.1,9.3,0.38,0.32,15,3
고어텍스패딩,1000.0,6240.0,2.3,3.3,0.24,0.06,15,3
크롭패딩,1300.0,14500.0,1.4,2.3,0.12,0.02,15,3
푸퍼패딩,1570.0,11500.0,2.0,2.3,0.14,0.03,15,3
푸퍼,2220.0,11200.0,1.0,2.7,0.05,0.03,3,3
퀄팅패딩,2990.0,23300.0,2.5,36.4,0.09,0.17,15,3
남자겨울점퍼,820.0,5460.0,3.9,16.7,0.49,0.33,15,3
코듀로이패딩,1460.0,12800.0,1.8,11.4,0.13,0.1,15,3
남자패딩브랜드,1310.0,7530.0,8.9,62.1,0.72,0.88,15,3
남성겨울점퍼,1680.0,9280.0,19.1,57.4,1.18,0.66,15,3
남자아우터,4010.0,17700.0,39.2,237.2,1.02,1.42,15,3
얇은패딩,1440.0,12300.0,11.9,216.9,0.85,1.85,15,3
다운자켓,1590.0,7150.0,11.2,52.6,0.73,0.79,15,3
파카,3600.0,12800.0,7.2,66.7,0.22,0.56,15,3
K2숏패딩,1050.0,10600.0,2.7,50.5,0.27,0.51,15,3
패딩점퍼,2500.0,13700.0,9.7,65.1,0.41,0.51,15,3
남자패딩자켓,810.0,5070.0,3.4,24.8,0.45,0.53,15,3
중학생패딩,900.0,8100.0,8.0,63.3,0.92,0.83,15,3
후드패딩,880.0,7160.0,3.6,15.9,0.43,0.24,15,3
구스다운패딩,2830.0,22100.0,15.0,189.0,0.56,0.91,15,3
나이키조끼패딩,900.0,10600.0,4.6,110.0,0.53,1.11,15,3
나이키패딩조끼,3460.0,36700.0,21.2,176.0,0.64,0.52,15,3
골프패딩조끼,1830.0,17400.0,11.9,188.3,0.67,1.16,15,3
겨울코디,1810.0,10000.0,2.9,16.8,0.17,0.18,15,3
경량구스다운,920.0,7790.0,4.5,76.1,0.51,1.05,15,3
경량롱패딩,1930.0,24300.0,8.9,186.0,0.47,0.81,15,3
경량패딩조끼,7240.0,59300.0,36.5,621.1,0.52,1.11,15,3
경량패딩추천,1190.0,5240.0,7.6,66.6,0.66,1.35,15,3
스타디움자켓,1290.0,8100.0,2.4,35.9,0.2,0.48,15,3
나이키점퍼,1330.0,16200.0,5.7,56.1,0.46,0.38,15,3
겨울아우터,1940.0,9750.0,7.9,31.6,0.43,0.35,15,3
남자패딩점퍼,1930.0,15400.0,19.6,156.4,1.05,1.08,15,3
패딩자켓,2070.0,13300.0,4.5,9.0,0.23,0.08,15,3
남성겨울패딩,870.0,5310.0,9.0,98.5,1.06,1.99,15,3
깔깔이패딩,2950.0,24100.0,10.1,277.5,0.36,1.22,15,3
