,연관키워드,type,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도,입찰가_m1,입찰가_m2,입찰가_p1,입찰가_p2
114,반집업니트,패션의류,3330.0,27100.0,17.9,365.1,0.56,1.45,15,3,870.0,690.0,780.0,620.0
115,롱니트원피스,패션의류,1060.0,14800.0,4.5,54.0,0.45,0.4,15,3,1100.0,620.0,490.0,430.0
116,퀼팅자켓,패션의류,6440.0,61300.0,11.4,91.0,0.19,0.16,15,3,1780.0,660.0,2860.0,530.0
117,하객룩원피스,패션의류,1430.0,8710.0,29.5,161.7,2.12,2.02,15,3,7020.0,1220.0,8120.0,1260.0
118,모조에스핀원피스,패션의류,1280.0,21500.0,6.9,160.7,0.57,0.83,15,3,1220.0,520.0,570.0,400.0
119,니트롱원피스,패션의류,860.0,14900.0,4.2,23.6,0.51,0.17,15,3,1190.0,700.0,730.0,480.0
120,긴팔티,패션의류,1520.0,8620.0,2.1,8.1,0.15,0.11,15,3,8900.0,3500.0,9960.0,1790.0
121,트레이닝복,패션잡화,6670.0,55700.0,43.2,505.8,0.69,0.99,15,3,7710.0,4210.0,11200.0,4420.0
122,반바지,패션의류,1960.0,12500.0,2.1,15.7,0.12,0.14,15,3,1500.0,990.0,1280.0,1050.0
123,린넨,패션의류,2950.0,9560.0,7.8,77.5,0.28,0.88,15,3,1320.0,1090.0,1100.0,880.0
124,재킷,패션의류,1100.0,4680.0,1.8,10.5,0.18,0.25,15,3,10170.0,1350.0,11270.0,1610.0
125,겨울하객원피스,패션의류,1240.0,9320.0,18.8,132.6,1.56,1.51,15,3,960.0,530.0,530.0,440.0
126,후드원피스,패션의류,1470.0,19700.0,3.7,91.8,0.26,0.51,15,3,1690.0,880.0,730.0,550.0
127,반지,패션잡화,7420.0,76100.0,69.8,611.0,0.99,0.88,15,3,8920.0,1410.0,11840.0,1280.0
128,다운베스트,패션의류,1050.0,6270.0,1.6,14.7,0.16,0.26,15,3,1110.0,630.0,510.0,350.0
129,캐시미어100코트,패션잡화,1580.0,17100.0,8.0,53.7,0.53,0.35,15,3,980.0,590.0,470.0,390.0
130,정장,패션의류,6790.0,35300.0,21.3,186.2,0.33,0.58,15,3,8870.0,2430.0,11030.0,2300.0
131,청바지,패션의류,11500.0,79300.0,37.9,409.6,0.35,0.57,15,3,8970.0,1800.0,12480.0,2930.0
132,남성패딩조끼,스포츠/레저,1880.0,12800.0,12.8,85.0,0.72,0.72,15,3,1470.0,1170.0,2840.0,1320.0
133,기모원피스,패션의류,1670.0,22400.0,9.9,58.5,0.62,0.28,15,3,1310.0,930.0,590.0,530.0
134,여성겨울원피스,패션의류,950.0,10500.0,20.9,158.8,2.27,1.64,15,3,1780.0,610.0,610.0,490.0
135,롱가디건,패션의류,2510.0,25900.0,9.1,39.1,0.39,0.17,15,3,1080.0,700.0,650.0,580.0
136,데님,패션의류,1770.0,7460.0,1.0,0.3,0.06,0.01,15,3,1520.0,590.0,2280.0,480.0
137,백팩,스포츠/레저,17900.0,124200.0,77.4,825.5,0.46,0.72,15,3,7390.0,4060.0,11460.0,5550.0
138,집업,패션의류,2580.0,12600.0,5.4,17.1,0.22,0.15,15,3,2010.0,1380.0,1300.0,1140.0
139,코듀로이자켓,패션의류,2010.0,16300.0,6.5,2.0,0.35,0.02,15,3,780.0,510.0,690.0,470.0
140,신발종류,패션잡화,1000.0,9070.0,12.8,252.2,1.34,3.0,15,3,760.0,590.0,1050.0,870.0
141,여자가디건,패션의류,1210.0,10200.0,7.9,18.3,0.69,0.2,15,3,8870.0,1270.0,10420.0,760.0
142,여성코트,패션잡화,4840.0,54100.0,30.1,290.2,0.65,0.58,15,3,10850.0,2360.0,11950.0,1490.0
143,트위드자켓,패션의류,11700.0,139100.0,43.7,225.4,0.39,0.18,15,3,11600.0,1450.0,14650.0,940.0
144,여자구두,패션의류,2690.0,26200.0,58.3,596.3,2.26,2.47,15,3,7690.0,1560.0,9610.0,1320.0
145,여자니트,패션의류,1170.0,8690.0,5.3,22.7,0.48,0.29,15,3,1240.0,940.0,990.0,790.0
146,반코트,패션의류,2120.0,19100.0,6.1,67.8,0.31,0.39,15,3,1230.0,1020.0,840.0,490.0
147,여자숏패딩,패션의류,1910.0,15100.0,6.9,84.7,0.38,0.61,15,3,1110.0,970.0,1080.0,890.0
148,여성조끼,패션의류,2530.0,26200.0,25.0,138.8,1.03,0.58,15,3,1170.0,800.0,1070.0,760.0
149,롱코트,패션의류,3160.0,26100.0,7.2,64.4,0.24,0.27,15,3,1050.0,810.0,920.0,790.0
150,후드코트,패션의류,1370.0,13000.0,1.7,5.7,0.14,0.05,15,3,980.0,640.0,660.0,540.0
151,롱후리스,패션의류,3360.0,41300.0,15.9,214.2,0.49,0.55,15,3,3470.0,1190.0,1330.0,1120.0
152,여성의류,패션의류,3640.0,15500.0,72.9,286.6,2.1,2.01,15,3,1090.0,840.0,710.0,610.0
153,여성퀼팅자켓,패션의류,1380.0,11000.0,4.8,24.9,0.36,0.25,15,3,1050.0,530.0,590.0,430.0
154,여성트레이닝세트,패션잡화,3140.0,21100.0,22.9,274.3,0.77,1.4,15,3,3070.0,2090.0,3220.0,2080.0
155,여성목폴라,패션의류,1010.0,10400.0,8.9,60.3,0.91,0.62,15,3,1510.0,700.0,950.0,680.0
156,여성쇼핑몰,패션의류,3260.0,13900.0,79.9,440.2,2.57,3.44,15,3,880.0,760.0,1000.0,600.0
157,레더자켓,패션의류,2230.0,20900.0,5.1,10.1,0.24,0.06,15,3,800.0,680.0,630.0,570.0
158,블랙프라이데이,패션의류,119700.0,381700.0,439.9,3028.8,0.39,0.86,12,2,5520.0,2280.0,6790.0,2080.0
159,여자정장,패션의류,1570.0,11900.0,19.8,269.2,1.34,2.45,15,3,6860.0,860.0,9120.0,990.0
160,여성롱코트,패션의류,1280.0,13500.0,12.9,61.6,1.05,0.49,15,3,950.0,800.0,730.0,550.0
161,봄버자켓,패션의류,1950.0,11200.0,1.9,4.4,0.1,0.05,15,3,960.0,470.0,460.0,410.0
162,잠바,패션의류,2840.0,17600.0,12.2,102.2,0.45,0.62,15,3,1590.0,1230.0,1160.0,880.0
163,플리츠스커트,패션의류,3510.0,37700.0,10.8,71.4,0.32,0.21,15,3,1000.0,510.0,600.0,510.0
164,더플코트,패션의류,4050.0,24800.0,5.1,4.7,0.14,0.03,15,3,1350.0,700.0,2890.0,850.0
165,양가죽자켓,패션의류,970.0,12900.0,9.7,194.8,1.07,1.66,15,3,890.0,600.0,680.0,580.0
166,경량패딩,패션의류,76800.0,548100.0,433.5,3948.5,0.59,0.77,15,3,1440.0,1210.0,1820.0,1680.0
167,퀼팅점퍼,패션의류,3120.0,31600.0,5.7,45.2,0.19,0.16,15,3,1200.0,600.0,720.0,510.0
168,여성롱패딩,패션의류,4170.0,41900.0,26.3,260.5,0.66,0.67,15,3,1920.0,1460.0,2050.0,1210.0
169,간절기아우터,패션의류,810.0,8040.0,3.3,81.1,0.42,1.07,15,3,1360.0,1120.0,1800.0,1130.0
170,캐시미어니트,패션잡화,5870.0,61100.0,56.5,689.6,1.01,1.22,15,3,7730.0,1260.0,10990.0,1000.0
171,오피스룩,패션의류,4830.0,24500.0,170.9,830.9,3.71,3.67,15,3,6580.0,1420.0,7320.0,1100.0
172,클리어런스,패션의류,2550.0,7460.0,3.2,42.4,0.13,0.62,15,3,1100.0,360.0,480.0,380.0
173,니트조끼,패션의류,6190.0,77100.0,32.1,394.5,0.55,0.56,15,3,1050.0,910.0,880.0,580.0
174,여성겨울코트,패션의류,1650.0,16600.0,26.4,185.2,1.65,1.2,15,3,8580.0,2410.0,9910.0,1390.0
175,숏코트,패션의류,4080.0,43200.0,7.5,5.3,0.2,0.02,15,3,980.0,690.0,730.0,630.0
176,지갑,패션의류,8320.0,61900.0,9.9,28.0,0.13,0.05,15,3,12090.0,1250.0,14490.0,1780.0
177,핸드백,패션의류,2570.0,16000.0,15.3,327.3,0.63,2.23,15,3,10150.0,2880.0,11510.0,5190.0
178,비지니스캐주얼,패션의류,960.0,4350.0,2.3,50.6,0.25,1.24,15,3,1260.0,450.0,860.0,550.0
179,겨울스커트,패션의류,1500.0,16900.0,12.4,57.6,0.85,0.37,15,3,1290.0,1020.0,680.0,470.0
180,크롭가디건,패션의류,1250.0,15200.0,3.5,64.8,0.3,0.47,15,3,1220.0,610.0,510.0,400.0
181,울스커트,패션의류,1170.0,12200.0,5.9,31.9,0.52,0.29,15,3,1120.0,660.0,570.0,430.0
182,울가디건,패션의류,820.0,7010.0,2.7,8.5,0.34,0.14,15,3,1260.0,580.0,820.0,470.0
183,여성겨울자켓,패션의류,1200.0,14400.0,13.3,68.3,1.15,0.51,15,3,1330.0,690.0,860.0,720.0
184,여성가죽자켓,패션의류,990.0,10500.0,12.3,118.3,1.32,1.23,15,3,1170.0,960.0,1280.0,890.0
185,라인원피스,패션의류,1340.0,15200.0,25.1,231.6,1.97,1.68,15,3,1060.0,590.0,880.0,470.0
186,린원피스,패션의류,890.0,12300.0,14.8,201.2,1.74,1.81,15,3,1320.0,840.0,1540.0,490.0
187,캐시미어코트,패션잡화,6670.0,70500.0,28.0,204.4,0.44,0.32,15,3,1950.0,1010.0,3030.0,770.0
188,져지,패션의류,1110.0,5700.0,1.2,2.3,0.12,0.05,15,3,1230.0,1100.0,2440.0,780.0
189,신발,패션잡화,12500.0,79700.0,66.3,586.9,0.56,0.81,15,3,8440.0,2690.0,12810.0,7140.0
190,더블코트,패션의류,1400.0,7500.0,2.2,8.3,0.17,0.12,15,3,860.0,760.0,1200.0,580.0
191,여자바지,패션의류,980.0,8520.0,12.5,76.8,1.33,0.98,15,3,1670.0,980.0,1150.0,860.0
192,COUNT,패션의류,3590.0,8110.0,0.0,0.0,0.0,0.0,3,3,1140.0,240.0,460.0,300.0
193,필라테스복,패션잡화,4180.0,45000.0,159.3,2077.7,3.91,4.88,15,3,4800.0,4110.0,6990.0,5590.0
194,요가복,패션잡화,8160.0,77800.0,290.5,3970.6,3.67,5.44,15,3,4700.0,4560.0,6920.0,5110.0
195,보스턴백,패션잡화,7330.0,51300.0,17.9,164.5,0.26,0.35,15,3,9750.0,1810.0,10920.0,1260.0
196,운동화,패션잡화,25100.0,176300.0,139.8,1470.6,0.59,0.91,15,3,6870.0,4480.0,9420.0,7100.0
197,남자캐시미어니트,패션잡화,1010.0,6400.0,8.5,42.0,0.87,0.7,15,3,1620.0,680.0,880.0,560.0
198,캐시미어100니트,패션잡화,820.0,9890.0,7.3,136.9,0.93,1.49,15,3,2000.0,1200.0,850.0,650.0
199,여성패딩코트,패션의류,990.0,9230.0,7.7,45.2,0.8,0.53,15,3,1550.0,950.0,820.0,560.0
200,트러커자켓,패션의류,1330.0,7380.0,1.5,4.3,0.13,0.07,15,3,980.0,680.0,700.0,570.0
201,패딩,스포츠/레저,43800.0,314800.0,241.1,2764.9,0.57,0.94,15,3,1670.0,910.0,4740.0,1530.0
202,바캉스룩,패션의류,1380.0,9480.0,92.0,705.0,6.92,8.02,15,3,19340.0,1200.0,26220.0,780.0
203,스포츠브랜드,패션잡화,2520.0,10500.0,11.1,86.9,0.46,0.89,15,3,2090.0,1120.0,1300.0,580.0
204,다운점퍼,패션의류,1370.0,6240.0,3.7,29.4,0.28,0.51,15,3,1330.0,1100.0,1050.0,810.0
205,썬바이저,패션의류,960.0,4500.0,1.4,56.3,0.16,1.36,15,3,1420.0,710.0,1260.0,760.0
206,여자코트브랜드,패션의류,930.0,5260.0,3.6,3.3,0.4,0.07,15,3,1110.0,690.0,680.0,490.0
207,캐시미어가디건,패션잡화,1270.0,12700.0,11.8,105.0,0.97,0.9,15,3,1230.0,610.0,770.0,580.0
208,여성겨울모자,패션의류,1070.0,14100.0,14.1,163.3,1.35,1.24,15,3,1160.0,690.0,780.0,650.0
209,트위드가디건,패션의류,930.0,11800.0,1.8,18.7,0.2,0.18,15,3,8720.0,770.0,9040.0,530.0
210,로엠원피스,패션의류,1530.0,19600.0,11.1,68.3,0.76,0.39,15,3,1470.0,520.0,530.0,390.0
211,피로연원피스,패션의류,1670.0,11700.0,21.9,203.4,1.36,1.88,15,3,7190.0,570.0,9410.0,720.0
212,하객패션,패션의류,820.0,5700.0,9.5,78.8,1.2,1.52,15,3,8700.0,1000.0,9480.0,790.0
213,운동복,패션잡화,5440.0,32500.0,87.3,1368.8,1.69,4.51,15,3,5140.0,3720.0,5220.0,3780.0
214,슬리퍼,스포츠/레저,19500.0,100700.0,72.1,818.3,0.39,0.88,15,3,2760.0,1530.0,3210.0,2460.0
215,가을하객룩,패션의류,1320.0,9380.0,14.9,102.5,1.17,1.21,15,3,6900.0,1180.0,8700.0,700.0
