,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도,키워드,입찰가_모바일_1위
638,스포츠가방,1110.0,8650.0,7.9,51.0,0.75,0.63,15,3,스포츠가방,1730.0
639,폴대,2160.0,7280.0,4.3,5.5,0.21,0.09,15,3,폴대,1370.0
640,여성백팩,3010.0,27200.0,18.4,225.0,0.64,0.9,15,3,여성백팩,1380.0
641,여자백팩,1660.0,11700.0,5.3,102.3,0.34,0.95,15,3,여자백팩,1060.0
642,남성크로스백,1910.0,10100.0,9.5,36.8,0.53,0.4,15,3,남성크로스백,1390.0
643,남자가방,5530.0,32800.0,29.3,273.8,0.56,0.91,15,3,남자가방,1410.0
644,남자슬링백,2000.0,11900.0,8.2,104.3,0.43,0.95,15,3,남자슬링백,1350.0
645,더플백,3160.0,14700.0,5.3,63.9,0.18,0.47,15,3,더플백,1810.0
646,캠핑냄비,1340.0,7890.0,5.1,83.6,0.4,1.15,15,3,캠핑냄비,1280.0
647,식료품,1680.0,2010.0,2.1,4.8,0.14,0.26,15,3,식료품,1500.0
648,캠핑가방,2630.0,13000.0,3.2,69.1,0.13,0.58,15,3,캠핑가방,1730.0
649,캠핑준비물,1460.0,3980.0,0.4,0.0,0.03,0.0,13,2,캠핑준비물,1500.0
650,등산모자,4200.0,27200.0,17.1,308.7,0.43,1.23,15,3,등산모자,860.0
651,현수막가격,1380.0,4110.0,45.4,252.2,3.37,6.47,15,3,현수막가격,1610.0
652,코펠,3150.0,14500.0,4.2,70.3,0.14,0.53,15,3,코펠,1510.0
653,여성부츠,2520.0,25300.0,28.9,285.8,1.21,1.24,15,3,여성부츠,900.0
654,털신,3560.0,21800.0,7.8,82.8,0.23,0.41,15,3,털신,1290.0
655,모카신,2890.0,24200.0,9.3,83.6,0.34,0.38,15,3,모카신,1850.0
656,크록스털슬리퍼,4200.0,33000.0,29.4,466.5,0.72,1.53,15,3,크록스털슬리퍼,1760.0
657,웨스턴부츠,1740.0,16600.0,9.8,128.0,0.59,0.84,15,3,웨스턴부츠,2080.0
658,첼시부츠,8210.0,75400.0,24.3,353.8,0.32,0.5,15,3,첼시부츠,1930.0
659,겨울신발,3130.0,20800.0,14.5,88.5,0.49,0.46,15,3,겨울신발,1280.0
660,크록스털신,1600.0,15700.0,9.5,151.2,0.61,1.04,15,3,크록스털신,1450.0
661,퍼슬리퍼,2190.0,18400.0,7.8,45.2,0.37,0.27,15,3,퍼슬리퍼,1010.0
662,블로퍼,2940.0,21300.0,11.5,157.0,0.41,0.8,15,3,블로퍼,1980.0
663,베어파우,6950.0,73400.0,29.9,896.0,0.45,1.32,15,3,베어파우,2650.0
664,어그슬리퍼,31300.0,415900.0,192.3,5876.8,0.64,1.52,15,3,어그슬리퍼,2400.0
665,더비슈즈,5090.0,23700.0,10.7,125.7,0.23,0.58,15,3,더비슈즈,1360.0
666,여성롱부츠,1240.0,12800.0,15.9,144.4,1.33,1.24,15,3,여성롱부츠,1490.0
667,여성신발,2060.0,13600.0,50.3,262.3,2.56,2.09,15,3,여성신발,7490.0
668,나이키슬리퍼,4290.0,39200.0,16.5,473.8,0.4,1.32,15,3,나이키슬리퍼,1940.0
669,폴로신발,1050.0,14700.0,5.6,151.8,0.55,1.12,15,3,폴로신발,900.0
670,사무실털슬리퍼,1990.0,3960.0,8.9,39.2,0.45,1.05,15,3,사무실털슬리퍼,1820.0
671,남자로퍼,5110.0,24600.0,20.7,148.0,0.43,0.66,15,3,남자로퍼,1770.0
672,통굽슬리퍼,1050.0,9160.0,8.5,73.3,0.84,0.86,15,3,통굽슬리퍼,2630.0
673,플랫슈즈,4060.0,43900.0,33.3,492.5,0.85,1.22,15,3,플랫슈즈,1220.0
674,겨울사무실슬리퍼,1200.0,2310.0,6.9,22.3,0.59,1.03,15,3,겨울사무실슬리퍼,1300.0
675,미들부츠,3270.0,29700.0,20.8,317.4,0.67,1.17,15,3,미들부츠,770.0
676,신발사이트,1900.0,9590.0,53.6,448.3,2.98,5.09,15,3,신발사이트,1150.0
677,베어파우모카신,1170.0,20300.0,4.3,109.2,0.38,0.58,15,3,베어파우모카신,1370.0
678,털크록스키즈,1320.0,35600.0,16.5,786.5,1.28,2.36,15,3,털크록스키즈,2210.0
679,윙스풋,3720.0,11300.0,1.9,26.3,0.06,0.24,8,2,윙스풋,920.0
680,털크록스,14000.0,180500.0,68.5,2557.4,0.5,1.52,15,3,털크록스,2890.0
681,사무실겨울슬리퍼,1440.0,2280.0,6.3,13.6,0.44,0.63,15,3,사무실겨울슬리퍼,1460.0
682,털신발,3350.0,27800.0,11.5,71.1,0.36,0.28,15,3,털신발,950.0
683,족저근막,1130.0,1170.0,0.3,5.5,0.03,0.51,15,3,족저근막,3820.0
684,겨울부츠,1470.0,11300.0,6.0,87.6,0.43,0.84,15,3,겨울부츠,990.0
685,패딩슬리퍼,5100.0,40800.0,15.6,149.0,0.32,0.4,15,3,패딩슬리퍼,1550.0
686,패딩슬립온,1150.0,10600.0,2.7,12.5,0.25,0.14,15,3,패딩슬립온,980.0
687,털부츠,1530.0,12600.0,5.7,17.8,0.38,0.16,15,3,털부츠,1040.0
688,패딩부츠,1920.0,16600.0,3.4,16.9,0.19,0.12,15,3,패딩부츠,1190.0
689,어그부츠,15500.0,173100.0,113.5,2359.8,0.76,1.49,15,3,어그부츠,1630.0
690,남성방한화,1310.0,7290.0,15.6,159.6,1.25,2.38,15,3,남성방한화,1450.0
691,패딩슈즈,2080.0,19500.0,7.1,97.1,0.36,0.55,15,3,패딩슈즈,1040.0
692,패딩신발,4590.0,39100.0,9.1,19.0,0.21,0.06,15,3,패딩신발,960.0
693,크록스털,10900.0,142300.0,53.3,1010.9,0.5,0.76,15,3,크록스털,1600.0
694,스웨이드부츠,1490.0,18500.0,9.1,44.5,0.64,0.26,15,3,스웨이드부츠,1350.0
695,부츠,7780.0,88000.0,66.6,899.9,0.89,1.11,15,3,부츠,7540.0
696,가을코디,1910.0,13700.0,6.3,27.9,0.36,0.23,15,3,가을코디,9730.0
697,퀼팅백,1110.0,10900.0,3.3,51.2,0.32,0.51,15,3,퀼팅백,1020.0
698,베어파우슬리퍼,3410.0,58800.0,9.5,346.5,0.29,0.63,15,3,베어파우슬리퍼,2090.0
699,어그모카신,1890.0,30900.0,13.9,391.7,0.76,1.36,15,3,어그모카신,1360.0
700,어그샌들,1120.0,14800.0,3.3,89.9,0.31,0.66,15,3,어그샌들,1990.0
701,어그타스만,2340.0,23700.0,21.5,323.4,0.94,1.47,15,3,어그타스만,2610.0
702,어그털슬리퍼,1030.0,10200.0,5.5,97.3,0.55,1.02,15,3,어그털슬리퍼,1130.0
703,UGG부츠,1090.0,15400.0,10.2,327.2,0.97,2.33,15,3,UGG부츠,1320.0
704,여성앵글부츠,1530.0,17200.0,27.9,225.6,1.88,1.41,15,3,여성앵글부츠,7720.0
705,킬힐,2460.0,17700.0,2.4,2.3,0.11,0.02,15,3,킬힐,850.0
706,남자발목양말,1920.0,12300.0,11.2,197.3,0.61,1.72,15,3,남자발목양말,2700.0
707,요술버선,1060.0,5530.0,4.7,83.6,0.46,1.6,15,3,요술버선,890.0
708,버선,1050.0,4360.0,1.4,31.0,0.14,0.76,15,3,버선,1040.0
709,어그,29100.0,292400.0,327.0,5461.6,1.16,2.02,15,3,어그,1910.0
710,UGG슬리퍼,4020.0,60700.0,46.3,1581.0,1.19,2.79,15,3,UGG슬리퍼,2370.0
711,UGG,10700.0,106000.0,137.7,2247.5,1.33,2.29,15,3,UGG,1530.0
712,어그코케트,4580.0,63800.0,48.1,1030.0,1.08,1.72,15,3,어그코케트,1680.0
713,UGG어그,1590.0,23500.0,18.5,526.8,1.2,2.42,15,3,UGG어그,1790.0
714,어그클래식미니,1090.0,12900.0,9.5,135.2,0.9,1.13,15,3,어그클래식미니,1560.0
715,어그플랫폼,1660.0,23800.0,17.5,217.8,1.07,0.98,10,2,어그플랫폼,1280.0
716,오즈웨어어그,2000.0,28500.0,6.7,217.3,0.34,0.82,15,3,오즈웨어어그,1220.0
717,남자어그,1120.0,7820.0,6.2,81.3,0.58,1.13,15,3,남자어그,1330.0
718,어그매장,1460.0,20200.0,4.8,145.4,0.34,0.78,15,3,어그매장,1530.0
719,어그귀마개,1020.0,11800.0,5.3,173.0,0.54,1.55,15,3,어그귀마개,1260.0
720,호주어그,2660.0,23800.0,28.8,429.1,1.11,1.93,15,3,호주어그,1110.0
721,어그키즈,1470.0,27300.0,21.3,558.6,1.47,2.18,15,3,어그키즈,2370.0
722,오즈웨어,1770.0,13500.0,5.4,32.8,0.32,0.26,12,2,오즈웨어,1310.0
723,방한부츠,2210.0,13500.0,7.2,64.8,0.34,0.52,15,3,방한부츠,890.0
724,남성스니커즈,3820.0,22800.0,26.8,191.5,0.74,0.92,15,3,남성스니커즈,2640.0
725,스투시비니,1710.0,18700.0,4.7,104.6,0.29,0.61,15,3,스투시비니,1170.0
726,테니스,9640.0,56700.0,15.8,233.5,0.17,0.45,15,3,테니스,3930.0
727,겨울운동화,2860.0,18300.0,12.5,92.3,0.46,0.55,15,3,겨울운동화,1630.0
728,군화,1280.0,6570.0,14.3,158.3,1.19,2.6,15,3,군화,1030.0
729,서류가방,4220.0,15800.0,22.3,121.3,0.55,0.83,15,3,서류가방,2350.0
730,여성스니커즈,2570.0,27000.0,24.5,203.5,0.99,0.82,15,3,여성스니커즈,1930.0
731,여자운동화,2200.0,18800.0,10.0,148.8,0.48,0.86,15,3,여자운동화,8210.0
732,커플운동화,1520.0,9900.0,4.4,71.6,0.31,0.78,15,3,커플운동화,1440.0
733,방한화,9040.0,47500.0,53.7,924.3,0.62,2.08,15,3,방한화,2020.0
734,남자스니커즈,4190.0,23500.0,24.5,169.8,0.62,0.79,15,3,남자스니커즈,2570.0
735,슬립온,5050.0,42100.0,28.4,264.7,0.59,0.69,15,3,슬립온,2180.0
736,스니커즈,13300.0,103100.0,49.4,553.8,0.39,0.59,15,3,스니커즈,7970.0
737,여자스니커즈,1960.0,24700.0,16.4,185.0,0.87,0.82,15,3,여자스니커즈,2070.0
738,폴로목도리,5810.0,59900.0,29.7,446.4,0.53,0.8,15,3,폴로목도리,710.0
739,크록스,81400.0,697800.0,220.2,3707.4,0.29,0.58,15,3,크록스,2260.0
740,크록스바야밴드,1940.0,28300.0,8.6,180.5,0.47,0.69,15,3,크록스바야밴드,2070.0
741,지센,5340.0,33600.0,33.5,332.5,0.66,1.07,15,3,지센,1260.0
742,크록스슬리퍼,5970.0,67300.0,39.3,1172.8,0.69,1.91,15,3,크록스슬리퍼,2230.0
743,금강제화,15000.0,71900.0,87.0,757.8,0.61,1.16,15,3,금강제화,990.0
744,크록스지비츠,5730.0,56500.0,23.7,704.5,0.43,1.37,15,3,크록스지비츠,1640.0
745,닥스,16900.0,92600.0,88.6,1181.3,0.56,1.39,15,3,닥스,1990.0
746,크록스클래식라인드클로그,1210.0,8330.0,10.1,29.4,0.86,0.38,15,3,크록스클래식라인드클로그,1120.0
747,커터앤벅,1200.0,13800.0,11.1,203.5,0.95,1.62,15,3,커터앤벅,1800.0
748,모조에스핀,5680.0,58100.0,10.1,82.3,0.19,0.16,15,3,모조에스핀,1390.0
749,JDX,4820.0,19600.0,9.0,79.1,0.2,0.44,15,3,JDX,1470.0
750,크록스클로그,1170.0,11900.0,5.7,52.0,0.52,0.48,15,3,크록스클로그,1750.0
751,그녀희제,4060.0,14600.0,50.7,213.6,1.3,1.58,15,3,그녀희제,1390.0
752,헤지스,22200.0,113800.0,113.6,1158.7,0.54,1.12,15,3,헤지스,1630.0
753,크록스겨울,1210.0,7620.0,11.0,121.5,0.94,1.73,15,3,크록스겨울,1240.0
754,겨울크록스,3580.0,35400.0,13.8,326.0,0.4,0.99,15,3,겨울크록스,1910.0
755,크록스라이트라이드,1780.0,15000.0,6.5,208.0,0.39,1.5,15,3,크록스라이트라이드,3430.0
756,크록스부츠,1560.0,22600.0,4.7,143.7,0.32,0.68,15,3,크록스부츠,1830.0
757,크록스사이즈,1850.0,11800.0,1.9,41.0,0.11,0.38,15,3,크록스사이즈,1640.0
758,잭오랜턴,4880.0,29100.0,2.3,96.7,0.05,0.35,15,3,잭오랜턴,1150.0
759,네파키즈,2290.0,23900.0,31.2,423.7,1.4,1.9,15,3,네파키즈,2350.0
760,크록스키즈,1370.0,25300.0,9.5,341.3,0.72,1.47,15,3,크록스키즈,1960.0
761,엄마옷데드라,1840.0,10500.0,45.9,162.4,2.66,1.68,15,3,엄마옷데드라,690.0
762,김여사,1900.0,8960.0,98.5,156.0,5.4,1.88,15,3,김여사,930.0
763,페이퍼플레인,1690.0,8820.0,5.3,62.1,0.33,0.77,15,3,페이퍼플레인,2280.0
764,더아이잗,1670.0,14800.0,7.5,136.5,0.48,1.01,15,3,더아이잗,1000.0
765,아이스비스킷,4130.0,73500.0,19.2,855.5,0.48,1.25,15,3,아이스비스킷,450.0
766,락포트,11300.0,60200.0,26.1,188.2,0.25,0.35,15,3,락포트,1760.0
767,도이터,2270.0,6680.0,2.3,41.4,0.11,0.68,15,3,도이터,750.0
768,MLB키즈,5150.0,91000.0,16.5,600.3,0.34,0.71,15,3,MLB키즈,1820.0
769,첨이첨이,1130.0,9870.0,2.9,44.0,0.27,0.48,15,3,첨이첨이,2590.0
770,지프,23000.0,112700.0,15.8,330.8,0.08,0.33,15,3,지프,1290.0
771,제이앤제나,1200.0,8840.0,3.3,25.7,0.28,0.32,6,2,제이앤제나,1290.0
772,프레드페리,4270.0,26300.0,7.1,63.5,0.18,0.27,15,3,프레드페리,1320.0
773,쥬시쥬디,3840.0,48200.0,36.3,883.0,0.99,2.0,15,3,쥬시쥬디,1280.0
774,비키,1710.0,14200.0,5.4,58.5,0.34,0.44,15,3,비키,1020.0
775,앤드지,5820.0,22900.0,10.4,109.7,0.19,0.53,15,3,앤드지,1200.0
776,트루젠,1540.0,5370.0,4.4,14.3,0.31,0.3,15,3,트루젠,1260.0
777,올젠바지,1020.0,8330.0,4.6,71.8,0.48,0.95,15,3,올젠바지,2120.0
778,폴햄,18800.0,110000.0,28.1,374.0,0.16,0.37,15,3,폴햄,2030.0
779,머렐,5400.0,27200.0,25.7,214.3,0.51,0.89,15,3,머렐,1290.0
780,SATIN,1100.0,3870.0,1.1,8.9,0.11,0.26,15,3,SATIN,1520.0
781,파크랜드,10600.0,40200.0,50.8,484.3,0.51,1.32,15,3,파크랜드,1220.0
782,금강제화세일,2050.0,10400.0,29.6,259.9,1.51,2.71,15,3,금강제화세일,1260.0
783,시티즌,2660.0,9270.0,3.5,42.0,0.14,0.49,15,3,시티즌,610.0
784,블랙야크트레킹화,1380.0,10500.0,8.1,135.9,0.62,1.41,15,3,블랙야크트레킹화,4350.0
785,올리비아로렌,6850.0,68000.0,80.5,1197.7,1.23,1.91,15,3,올리비아로렌,1240.0
786,블랙야크바람막이,1210.0,9000.0,9.9,71.3,0.86,0.87,15,3,블랙야크바람막이,1440.0
787,ANDZ,1970.0,10400.0,4.4,66.8,0.24,0.72,15,3,ANDZ,1670.0
788,MINIMUM,1190.0,2760.0,0.9,17.6,0.08,0.69,12,2,MINIMUM,1110.0
789,탑텐,170300.0,997600.0,73.7,32.7,0.05,0.01,15,3,탑텐,1640.0
790,JDX남성골프웨어,2270.0,12000.0,16.7,171.3,0.77,1.56,15,3,JDX남성골프웨어,1630.0
791,지오지아,16600.0,68700.0,8.4,6.7,0.06,0.02,15,3,지오지아,1180.0
792,나이키운동화,33200.0,382900.0,234.4,4568.4,0.74,1.31,15,3,나이키운동화,4960.0
793,나이키런닝화,5830.0,53000.0,18.7,296.0,0.34,0.61,15,3,나이키런닝화,1970.0
794,나이키러닝화,2620.0,17600.0,17.2,102.8,0.69,0.64,15,3,나이키러닝화,2240.0
795,나이키아울렛,2270.0,16600.0,27.3,416.4,1.27,2.74,15,3,나이키아울렛,5360.0
796,나이키골프화,6890.0,61800.0,41.5,704.7,0.63,1.24,15,3,나이키골프화,2320.0
797,나이키신발,8830.0,89600.0,59.1,855.5,0.71,1.05,15,3,나이키신발,2200.0
798,나이키사카이,3840.0,34400.0,24.7,407.7,0.68,1.29,15,3,나이키사카이,1510.0
799,나이키골프,7680.0,54400.0,27.5,312.2,0.38,0.63,15,3,나이키골프,2220.0
800,나이키조던,5160.0,63600.0,26.7,837.6,0.55,1.45,15,3,나이키조던,1160.0
801,나이키킬샷2,1610.0,16200.0,16.9,339.6,1.12,2.31,15,3,나이키킬샷2,1140.0
802,나이키덩크,3480.0,25200.0,40.5,369.9,1.22,1.63,15,3,나이키덩크,1320.0
803,나이키에어맥스,8730.0,103900.0,32.6,713.5,0.4,0.75,15,3,나이키에어맥스,5670.0
804,나이키킬샷,3050.0,22900.0,24.2,402.6,0.83,1.92,15,3,나이키킬샷,1210.0
805,피스마이너스원,3070.0,18000.0,5.4,79.5,0.19,0.48,15,3,피스마이너스원,1190.0
806,나이키패딩,8140.0,96000.0,20.9,384.8,0.27,0.43,15,3,나이키패딩,1380.0
807,나이키에어맥스95,1440.0,10500.0,8.7,116.0,0.64,1.2,15,3,나이키에어맥스95,5290.0
808,나이키농구화,2030.0,15500.0,28.9,294.6,1.49,2.07,15,3,나이키농구화,1560.0
809,나이키온라인스토어,116900.0,1112500.0,1717.0,16748.0,1.55,1.64,1,1,나이키온라인스토어,4450.0
810,나이키양말,6790.0,58600.0,32.3,1105.1,0.5,2.02,15,3,나이키양말,3520.0
811,나이키스투시,1200.0,9840.0,2.9,129.9,0.25,1.44,15,3,나이키스투시,1170.0
812,나이키롱패딩,2770.0,26300.0,25.5,131.5,0.96,0.53,15,3,나이키롱패딩,1200.0
813,나이키트레이닝복,1880.0,10900.0,12.1,125.5,0.68,1.26,15,3,나이키트레이닝복,1350.0
814,남성운동화,3420.0,19700.0,20.8,188.3,0.64,1.04,15,3,남성운동화,2120.0
815,나이키트레이닝복세트,4210.0,39100.0,35.2,270.3,0.88,0.76,15,3,나이키트레이닝복세트,1390.0
816,우븐,1310.0,3280.0,0.0,0.0,0.0,0.0,3,3,우븐,1190.0
817,운동화끈,1630.0,11000.0,13.4,139.8,0.86,1.39,15,3,운동화끈,1490.0
818,나이키등산화,1400.0,11600.0,8.1,127.3,0.6,1.19,15,3,나이키등산화,870.0
819,나이키와플,1890.0,15100.0,7.3,149.6,0.41,1.08,15,3,나이키와플,1200.0
820,신발브랜드,1570.0,8840.0,10.1,82.3,0.67,1.02,15,3,신발브랜드,1930.0
821,남자단화,1740.0,10000.0,7.2,71.5,0.44,0.79,15,3,남자단화,1560.0
822,아키클래식운동화,1530.0,17900.0,10.0,519.9,0.68,3.13,15,3,아키클래식운동화,1930.0
823,발편한운동화,2650.0,23600.0,22.1,512.9,0.86,2.35,15,3,발편한운동화,2440.0
824,나이키여성운동화,2400.0,28000.0,23.5,390.9,1.03,1.53,15,3,나이키여성운동화,2010.0
825,나이키바지,3090.0,34700.0,17.5,305.3,0.6,0.96,15,3,나이키바지,1910.0
826,나이키베이퍼맥스,1670.0,15800.0,12.3,254.5,0.79,1.75,15,3,나이키베이퍼맥스,7000.0
827,나이키코르테즈,4910.0,50500.0,60.5,1177.5,1.29,2.55,15,3,나이키코르테즈,2930.0
828,나이키테크팩,1910.0,22000.0,9.8,109.7,0.55,0.55,15,3,나이키테크팩,1200.0
829,나이키트레이닝바지,1880.0,17600.0,9.9,99.2,0.56,0.61,15,3,나이키트레이닝바지,1520.0
830,나이키운동복,1200.0,8320.0,9.3,91.0,0.8,1.18,15,3,나이키운동복,2030.0
831,나이키백팩,2580.0,27600.0,13.9,171.0,0.57,0.68,15,3,나이키백팩,1400.0
832,나이키에어맥스90,1560.0,13100.0,9.1,118.5,0.62,0.99,15,3,나이키에어맥스90,2240.0
833,나이키레깅스,1170.0,11200.0,7.4,105.5,0.67,1.01,15,3,나이키레깅스,3570.0
834,나이키덩크로우,6300.0,86700.0,56.3,1318.4,0.94,1.66,15,3,나이키덩크로우,2440.0
835,나이키점퍼,1330.0,16200.0,5.7,56.1,0.46,0.38,15,3,나이키점퍼,1400.0
836,나이키에어포스107,2490.0,23200.0,23.3,354.1,0.99,1.67,15,3,나이키에어포스107,1810.0
837,나이키에어맥스97,5240.0,55600.0,44.3,599.0,0.89,1.18,15,3,나이키에어맥스97,6040.0
838,나이키조거팬츠,4200.0,42600.0,25.8,313.3,0.64,0.8,15,3,나이키조거팬츠,1620.0
839,나이키뽀글이,1520.0,21400.0,9.9,125.2,0.67,0.63,13,2,나이키뽀글이,1110.0
840,나이키드라이핏,1020.0,5490.0,4.9,66.6,0.52,1.31,15,3,나이키드라이핏,1710.0
841,나이키윈드러너,1050.0,8330.0,3.3,42.1,0.33,0.56,15,3,나이키윈드러너,1530.0
842,조던신발,1190.0,16000.0,9.6,345.6,0.85,2.34,15,3,조던신발,1560.0
843,나이키줌보메로5,1180.0,8180.0,15.6,317.0,1.35,4.09,13,2,나이키줌보메로5,1500.0
844,맥스97,1240.0,9180.0,11.4,105.5,0.96,1.26,15,3,맥스97,5720.0
845,나이키리액트,1360.0,12200.0,3.7,48.7,0.29,0.44,15,3,나이키리액트,1710.0
846,나이키에어,2400.0,23000.0,9.7,154.4,0.43,0.74,15,3,나이키에어,3950.0
847,나이키우븐팬츠,1010.0,7140.0,3.8,14.1,0.4,0.22,15,3,나이키우븐팬츠,1330.0
848,나이키후리스,6010.0,78800.0,16.7,540.7,0.29,0.73,15,3,나이키후리스,930.0
849,나이키경량패딩,2960.0,29400.0,11.1,41.6,0.39,0.15,15,3,나이키경량패딩,970.0
850,폴로셔츠,5200.0,41200.0,38.3,472.3,0.77,1.27,15,3,폴로셔츠,1010.0
851,코르테즈,1830.0,16200.0,17.7,440.8,1.01,2.96,15,3,코르테즈,2010.0
852,나이키모자,5330.0,66800.0,26.4,694.5,0.53,1.12,15,3,나이키모자,1330.0
853,나이키스우시,1480.0,11900.0,3.9,48.7,0.28,0.45,15,3,나이키스우시,5270.0
854,덩크로우,3100.0,28000.0,36.8,774.0,1.25,3.04,15,3,덩크로우,1950.0
855,나이키테일윈드,1540.0,8640.0,8.8,143.4,0.61,1.81,15,3,나이키테일윈드,6790.0
856,에어팟3,5790.0,25200.0,25.3,304.0,0.46,1.29,15,3,에어팟3,3080.0
857,나이키NRG,1240.0,5590.0,9.5,4.0,0.81,0.08,12,2,나이키NRG,1220.0
858,나이키힙색,1970.0,21400.0,6.9,63.7,0.36,0.33,15,3,나이키힙색,1510.0
859,에어팟,40300.0,223900.0,87.5,2119.8,0.23,1.02,15,3,에어팟,4180.0
860,나이키반바지,1290.0,9450.0,6.1,142.6,0.5,1.66,15,3,나이키반바지,2550.0
861,나이키숏패딩,2510.0,30500.0,12.3,164.5,0.51,0.58,15,3,나이키숏패딩,980.0
862,조던,5140.0,47300.0,15.7,530.8,0.33,1.23,15,3,조던,1540.0
863,베이퍼맥스,1460.0,11600.0,9.2,206.3,0.66,1.93,15,3,베이퍼맥스,6380.0
864,로퍼,8250.0,70400.0,27.1,531.8,0.35,0.82,15,3,로퍼,9160.0
865,여성운동화,4980.0,53400.0,49.5,607.6,1.04,1.24,15,3,여성운동화,7250.0
866,런닝화,7940.0,55500.0,50.3,567.0,0.66,1.11,15,3,런닝화,3140.0
867,남성트레이닝세트,1980.0,12700.0,16.6,90.0,0.87,0.77,15,3,남성트레이닝세트,2050.0
868,아웃도어프로덕트,3800.0,29000.0,43.4,535.6,1.19,2.01,15,3,아웃도어프로덕트,1670.0
869,레깅스,7820.0,56400.0,119.5,1210.1,1.6,2.3,15,3,레깅스,9590.0
870,남자운동화,5430.0,34500.0,41.6,355.8,0.81,1.13,15,3,남자운동화,3580.0
871,다이얼운동화,1600.0,10600.0,13.1,184.7,0.86,1.87,15,3,다이얼운동화,1320.0
872,트레이닝세트,5880.0,70300.0,41.1,820.9,0.74,1.27,15,3,트레이닝세트,3740.0
873,러닝화,3740.0,21400.0,18.1,235.5,0.51,1.19,15,3,러닝화,3710.0
874,키높이스니커즈,2490.0,25900.0,40.8,284.8,1.71,1.2,15,3,키높이스니커즈,2260.0
875,어글리슈즈,3580.0,27100.0,21.3,502.9,0.63,2.01,15,3,어글리슈즈,2150.0
876,키높이운동화,3350.0,41000.0,50.5,562.5,1.57,1.5,15,3,키높이운동화,2020.0
877,남자트레이닝복,2200.0,12300.0,22.9,142.0,1.1,1.26,15,3,남자트레이닝복,1780.0
878,운동화추천,2370.0,13300.0,13.0,122.0,0.57,1.0,15,3,운동화추천,1500.0
879,커플신발,1460.0,9940.0,5.3,63.1,0.39,0.69,15,3,커플신발,1210.0
880,남성신발,1580.0,5730.0,16.6,38.5,1.11,0.74,15,3,남성신발,2080.0
881,여성슬립온,1280.0,13300.0,13.1,57.8,1.06,0.47,15,3,여성슬립온,1520.0
882,치마,2010.0,17800.0,7.3,73.6,0.39,0.45,15,3,치마,7680.0
883,런닝화추천,1750.0,7690.0,5.5,88.6,0.33,1.25,15,3,런닝화추천,2020.0
884,여성구두,3330.0,29500.0,74.6,489.8,2.33,1.81,15,3,여성구두,8550.0
885,볼캡,3330.0,21600.0,8.2,149.5,0.26,0.76,15,3,볼캡,1540.0
886,정장구두,1210.0,5250.0,4.4,29.6,0.39,0.62,15,3,정장구두,8660.0
887,러닝화추천,1190.0,5180.0,5.2,51.8,0.46,1.08,15,3,러닝화추천,2160.0
888,헬스운동화,1250.0,8650.0,5.9,99.6,0.48,1.24,15,3,헬스운동화,3950.0
889,발볼넓은운동화,1830.0,13500.0,12.7,196.5,0.73,1.58,15,3,발볼넓은운동화,2270.0
890,커플템,1050.0,7350.0,1.3,37.7,0.14,0.55,15,3,커플템,890.0
891,워킹화,3990.0,20800.0,19.5,217.8,0.52,1.13,15,3,워킹화,2010.0
892,키높이깔창,2260.0,15200.0,8.1,161.5,0.38,1.15,15,3,키높이깔창,1850.0
893,여성트레킹화,1520.0,11600.0,11.3,171.3,0.77,1.6,15,3,여성트레킹화,1120.0
894,프리미엄스니커즈,2240.0,7130.0,3.3,1.9,0.16,0.03,15,3,프리미엄스니커즈,1000.0
895,경등산화,1290.0,4600.0,3.5,44.3,0.29,1.05,15,3,경등산화,620.0
896,블랙야크등산화,2680.0,21000.0,14.6,292.8,0.57,1.51,15,3,블랙야크등산화,1090.0
897,네파트레킹화,1230.0,13000.0,11.1,186.8,0.94,1.54,15,3,네파트레킹화,780.0
898,네파등산화,2390.0,19300.0,11.3,304.5,0.5,1.71,15,3,네파등산화,1160.0
899,김영주골프,1330.0,9270.0,13.8,240.0,1.08,2.8,15,3,김영주골프,1730.0
900,남자트레킹화,2020.0,7200.0,14.3,124.0,0.75,1.88,15,3,남자트레킹화,910.0
901,페니로퍼,1270.0,6680.0,1.6,16.7,0.14,0.28,15,3,페니로퍼,990.0
902,역도화,1610.0,7380.0,8.3,138.4,0.55,2.02,15,3,역도화,2850.0
903,여자신발,1260.0,8620.0,17.7,163.5,1.46,2.07,15,3,여자신발,7120.0
904,스웨이드로퍼,2420.0,25700.0,5.5,9.0,0.24,0.04,15,3,스웨이드로퍼,1350.0
905,드라이빙슈즈,1850.0,15200.0,3.5,65.3,0.2,0.47,15,3,드라이빙슈즈,2650.0
906,여성단화,1730.0,20000.0,13.2,164.5,0.79,0.9,15,3,여성단화,1110.0
907,14K목걸이,3950.0,43700.0,61.1,747.9,1.62,1.86,15,3,14K목걸이,1500.0
908,깔창,4630.0,24500.0,15.9,173.0,0.37,0.77,15,3,깔창,2730.0
909,신발깔창,2750.0,17000.0,20.9,200.5,0.8,1.26,15,3,신발깔창,2290.0
910,기능성깔창,1380.0,7040.0,11.7,113.4,0.88,1.71,15,3,기능성깔창,3250.0
