,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도,키워드,입찰가_모바일_1위
48,내셔널,1430.0,8000.0,4.4,40.8,0.32,0.55,13,2,내셔널,1350.0
49,내셔널지오그래픽백팩,1040.0,9410.0,0.9,31.2,0.1,0.37,15,3,내셔널지오그래픽백팩,920.0
50,내셔널지오그래픽캐리어,4970.0,54700.0,20.7,645.2,0.44,1.29,15,3,내셔널지오그래픽캐리어,2550.0
51,노트북백팩,3280.0,11000.0,12.3,107.2,0.4,1.06,15,3,노트북백팩,1190.0
52,슬링백,9600.0,63800.0,12.2,232.4,0.14,0.4,15,3,슬링백,1280.0
53,직장인백팩,1210.0,8590.0,5.7,61.3,0.5,0.77,15,3,직장인백팩,1170.0
54,남자백팩,3660.0,19500.0,11.7,122.0,0.34,0.68,15,3,남자백팩,1840.0
55,남성백팩,1310.0,7430.0,8.0,61.5,0.64,0.91,15,3,남성백팩,2140.0
56,남성가방,1350.0,6290.0,9.5,53.1,0.74,0.92,15,3,남성가방,1770.0
57,남자토트백,3140.0,14900.0,11.3,92.7,0.38,0.68,15,3,남자토트백,1250.0
58,게스맨투맨,1350.0,16200.0,5.7,119.3,0.45,0.81,15,3,게스맨투맨,1910.0
59,오버니삭스,1150.0,9200.0,4.2,81.6,0.38,0.96,15,3,오버니삭스,950.0
60,폴로모자,2520.0,28400.0,6.9,176.0,0.29,0.68,15,3,폴로모자,1120.0
61,폴로반집업니트,1050.0,9980.0,4.2,56.2,0.43,0.62,14,3,폴로반집업니트,710.0
62,폴로양말,1010.0,9200.0,6.1,89.2,0.63,1.04,15,3,폴로양말,1560.0
63,다운,3640.0,14900.0,2.7,5.7,0.08,0.05,15,3,다운,1810.0
64,스노우피크패딩,4710.0,64900.0,13.5,650.1,0.3,1.1,15,3,스노우피크패딩,1220.0
65,폴로슬리퍼,1520.0,18400.0,15.2,226.3,1.03,1.31,15,3,폴로슬리퍼,1380.0
66,POLO,1210.0,7080.0,3.1,63.8,0.27,1.0,15,3,POLO,1180.0
67,스투시후드집업,1200.0,14000.0,12.5,176.8,1.1,1.38,15,3,스투시후드집업,720.0
68,남자메신저백,1360.0,6830.0,3.6,3.0,0.28,0.05,15,3,남자메신저백,1020.0
69,오피스룩,4830.0,24500.0,170.9,830.9,3.71,3.67,15,3,오피스룩,6580.0
70,클리어런스,2550.0,7460.0,3.2,42.4,0.13,0.62,15,3,클리어런스,1100.0
71,겨울패딩,4130.0,23400.0,24.3,209.0,0.62,0.95,15,3,겨울패딩,1220.0
72,덕다운패딩,1430.0,11600.0,6.1,121.7,0.44,1.12,15,3,덕다운패딩,1010.0
73,덕다운,1880.0,8230.0,1.3,8.0,0.07,0.11,15,3,덕다운,1180.0
74,스투시맨투맨,1510.0,13300.0,14.2,149.6,0.98,1.21,15,3,스투시맨투맨,1570.0
75,남자크로스백,4570.0,29100.0,19.5,152.0,0.45,0.57,15,3,남자크로스백,1600.0
76,맨투맨,26900.0,188400.0,88.1,905.8,0.35,0.52,15,3,맨투맨,7370.0
77,캠핑용품,22400.0,99500.0,341.7,1364.3,1.58,1.5,15,3,캠핑용품,1960.0
78,후드집업,12500.0,105000.0,37.2,722.2,0.31,0.75,15,3,후드집업,2500.0
79,후드티,24000.0,187200.0,75.0,1149.2,0.33,0.67,15,3,후드티,7860.0
80,나이키맨투맨,8530.0,100300.0,29.6,552.5,0.37,0.6,15,3,나이키맨투맨,1700.0
81,후리스,44400.0,310400.0,205.8,2328.7,0.48,0.79,15,3,후리스,1910.0
82,커플맨투맨,2410.0,18300.0,15.4,202.1,0.66,1.18,15,3,커플맨투맨,2120.0
83,남자맨투맨,7650.0,54900.0,40.5,445.4,0.56,0.88,15,3,남자맨투맨,2440.0
84,백패킹,5160.0,20700.0,6.9,83.3,0.14,0.44,15,3,백패킹,1240.0
85,커스텀티셔츠,1280.0,1070.0,16.5,61.8,1.34,6.13,15,3,커스텀티셔츠,1820.0
86,남성맨투맨,3610.0,26600.0,19.1,131.4,0.56,0.54,15,3,남성맨투맨,2900.0
87,여성맨투맨,2660.0,31700.0,7.8,83.5,0.31,0.29,15,3,여성맨투맨,2490.0
88,오버핏맨투맨,2520.0,15900.0,11.3,121.1,0.47,0.83,15,3,오버핏맨투맨,1890.0
89,트레이닝복,6670.0,55700.0,43.2,505.8,0.69,0.99,15,3,트레이닝복,7710.0
90,맨투맨브랜드,1280.0,6940.0,6.1,64.2,0.5,1.0,15,3,맨투맨브랜드,1870.0
91,여자맨투맨,2440.0,14300.0,7.2,54.9,0.31,0.42,15,3,여자맨투맨,10920.0
92,맨투맨제작,1090.0,2240.0,51.8,158.4,4.82,7.44,15,3,맨투맨제작,6070.0
93,무지맨투맨,1090.0,4570.0,4.5,18.6,0.44,0.44,15,3,무지맨투맨,1330.0
94,캠핑,17400.0,72000.0,20.0,233.8,0.12,0.36,15,3,캠핑,1750.0
95,백패킹텐트,3540.0,17800.0,9.5,127.3,0.28,0.77,15,3,백패킹텐트,880.0
96,유니클로후리스,7780.0,84400.0,12.5,771.4,0.17,0.97,14,3,유니클로후리스,2250.0
97,티셔츠제작,2350.0,4120.0,73.3,205.0,3.21,5.27,15,3,티셔츠제작,4720.0
98,티셔츠,4710.0,27600.0,8.9,78.0,0.2,0.31,15,3,티셔츠,2040.0
99,텐트,12200.0,74000.0,40.6,613.8,0.35,0.91,15,3,텐트,1050.0
100,플리스,8430.0,54100.0,37.1,478.5,0.46,0.95,15,3,플리스,2180.0
101,오버핏후드티,2490.0,21000.0,12.3,206.3,0.53,1.06,15,3,오버핏후드티,9370.0
102,백패킹배낭,1570.0,8150.0,3.7,51.6,0.25,0.69,15,3,백패킹배낭,1020.0
103,커플후드티,2180.0,16700.0,18.2,191.3,0.87,1.22,15,3,커플후드티,1640.0
104,조거팬츠,15400.0,141100.0,90.4,1529.5,0.62,1.18,15,3,조거팬츠,5830.0
105,보스턴백,7330.0,51300.0,17.9,164.5,0.26,0.35,15,3,보스턴백,9750.0
106,여성후드티,1510.0,15000.0,7.0,109.0,0.49,0.78,15,3,여성후드티,2180.0
107,기모후드티,2910.0,25300.0,12.0,167.8,0.43,0.71,15,3,기모후드티,2220.0
108,백패킹장비,1010.0,3570.0,6.1,44.5,0.63,1.36,15,3,백패킹장비,970.0
109,후드티브랜드,1310.0,9560.0,8.9,91.0,0.71,1.03,15,3,후드티브랜드,1860.0
110,가족티,1470.0,11900.0,28.4,395.6,2.0,3.56,15,3,가족티,2490.0
111,남자후드티,4410.0,28200.0,28.3,233.0,0.68,0.89,15,3,남자후드티,2610.0
112,캠핑장비,2020.0,5190.0,19.1,67.8,0.99,1.42,15,3,캠핑장비,1650.0
113,등산용품,2710.0,8590.0,25.9,121.9,0.99,1.53,15,3,등산용품,1360.0
114,기모맨투맨,4170.0,37200.0,14.1,218.0,0.36,0.63,15,3,기모맨투맨,2040.0
115,여성트레이닝복,1380.0,12300.0,22.6,208.7,1.69,1.84,15,3,여성트레이닝복,3480.0
116,캠핑브랜드,1160.0,2830.0,8.5,9.7,0.76,0.38,15,3,캠핑브랜드,950.0
117,기모후드집업,3920.0,42400.0,18.1,253.0,0.48,0.63,15,3,기모후드집업,1710.0
118,맨투맨티셔츠,1060.0,4820.0,3.2,33.0,0.32,0.75,15,3,맨투맨티셔츠,3610.0
119,등산복,8280.0,54700.0,65.9,750.0,0.83,1.47,15,3,등산복,1470.0
120,패딩,43800.0,314800.0,241.1,2764.9,0.57,0.94,15,3,패딩,1670.0
121,감성캠핑용품,1230.0,9050.0,15.1,213.7,1.26,2.55,15,3,감성캠핑용품,2130.0
122,남자맨투맨브랜드,1070.0,5730.0,2.9,40.2,0.29,0.76,15,3,남자맨투맨브랜드,2180.0
123,스웻셔츠,1360.0,5360.0,2.0,30.0,0.16,0.61,15,3,스웻셔츠,9630.0
124,남자오버핏후드티,1650.0,11000.0,16.7,165.1,1.06,1.61,15,3,남자오버핏후드티,1810.0
125,트위드자켓,11700.0,139100.0,43.7,225.4,0.39,0.18,15,3,트위드자켓,11600.0
126,후드,6700.0,36200.0,9.3,22.0,0.15,0.07,15,3,후드,8220.0
