,키워드 ID,상태,키워드,키워드 속성,입찰가 유형,입찰가,품질지수,노출수,클릭수,클릭률(%),"평균클릭비용(VAT포함,원)","총비용(VAT포함,원)",노출가능 광고개수(PC),키워드 검색수,검색 상단 노출율(%)
1,nkw-a001-01-000004934182950,중지 : 키워드 검토중,2인용텐트,,키워드,610.0,4.0,0,0,0,0,0,15.0,,0.0
2,nkw-a001-01-000004934182980,중지 : 키워드 검토중,가디건코디,,키워드,9180.0,4.0,0,0,0,0,0,15.0,,0.0
3,nkw-a001-01-000004934182916,중지 : 키워드 검토중,가족티,,키워드,3700.0,4.0,0,0,0,0,0,15.0,,0.0
4,nkw-a001-01-000004934182925,중지 : 키워드 검토중,감성캠핑용품,,키워드,1880.0,4.0,0,0,0,0,0,15.0,,0.0
5,nkw-a001-01-000004934182994,중지 : 키워드 검토중,겨울코트,,키워드,1690.0,4.0,0,0,0,0,0,15.0,,0.0
6,nkw-a001-01-000004934182981,중지 : 키워드 검토중,골지니트,,키워드,780.0,4.0,0,0,0,0,0,15.0,,0.0
7,nkw-a001-01-000004934182920,중지 : 키워드 검토중,기모맨투맨,,키워드,2740.0,4.0,0,0,0,0,0,15.0,,0.0
8,nkw-a001-01-000004934182935,중지 : 키워드 검토중,기모후드,,키워드,1330.0,4.0,0,0,0,0,0,15.0,,0.0
9,nkw-a001-01-000004934182923,중지 : 키워드 검토중,기모후드집업,,키워드,1070.0,4.0,0,0,0,0,0,15.0,,0.0
10,nkw-a001-01-000004934182912,중지 : 키워드 검토중,기모후드티,,키워드,1540.0,4.0,0,0,0,0,0,15.0,,0.0
11,nkw-a001-01-000004934182956,중지 : 키워드 검토중,긴팔면티,,키워드,1520.0,4.0,0,0,0,0,0,15.0,,0.0
12,nkw-a001-01-000004934182965,중지 : 키워드 검토중,긴팔카라티,,키워드,1130.0,4.0,0,0,0,0,0,15.0,,0.0
13,nkw-a001-01-000004934182992,중지 : 키워드 검토중,남성코트,,키워드,1360.0,4.0,0,0,0,0,0,15.0,,0.0
14,nkw-a001-01-000004934182964,중지 : 키워드 검토중,남성후드티,,키워드,1490.0,4.0,0,0,0,0,0,15.0,,0.0
15,nkw-a001-01-000004934182959,중지 : 키워드 검토중,남자기모맨투맨,,키워드,1550.0,4.0,0,0,0,0,0,15.0,,0.0
16,nkw-a001-01-000004934182926,중지 : 키워드 검토중,남자맨투맨브랜드,,키워드,2450.0,4.0,0,0,0,0,0,15.0,,0.0
17,nkw-a001-01-000004934182928,중지 : 키워드 검토중,남자오버핏후드티,,키워드,1070.0,4.0,0,0,0,0,0,15.0,,0.0
18,nkw-a001-01-000004934182937,중지 : 키워드 검토중,남자옷쇼핑몰,,키워드,2190.0,4.0,0,0,0,0,0,15.0,,0.0
19,nkw-a001-01-000004934182961,중지 : 키워드 검토중,남자와이드팬츠,,키워드,1660.0,4.0,0,0,0,0,0,15.0,,0.0
20,nkw-a001-01-000004934182960,중지 : 키워드 검토중,남자와이셔츠,,키워드,2110.0,4.0,0,0,0,0,0,15.0,,0.0
21,nkw-a001-01-000004934182988,중지 : 키워드 검토중,남자운동복,,키워드,3290.0,4.0,0,0,0,0,0,15.0,,0.0
22,nkw-a001-01-000004934182991,중지 : 키워드 검토중,남자코트,,키워드,1070.0,4.0,0,0,0,0,0,15.0,,0.0
23,nkw-a001-01-000004934182933,중지 : 키워드 검토중,남자티셔츠,,키워드,3030.0,4.0,0,0,0,0,0,15.0,,0.0
24,nkw-a001-01-000004934182962,중지 : 키워드 검토중,남자헬스복,,키워드,2880.0,4.0,0,0,0,0,0,15.0,,0.0
25,nkw-a001-01-000004934182963,중지 : 키워드 검토중,남자후드집업,,키워드,1470.0,4.0,0,0,0,0,0,15.0,,0.0
