,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
1989,1인용행거,40.0,100.0,0.0,0.3,0.0,0.36,3,3
1990,벽에붙이는행거,10.0,60.0,0.2,0.6,1.27,1.1,6,2
1991,행거도매,10.0,10.0,0.8,1.6,8.89,12.2,15,3
1992,이동식옷걸이행거,280.0,580.0,0.1,3.0,0.05,0.54,15,3
1993,천장행거,330.0,1780.0,3.3,18.5,1.04,1.09,15,3
1994,스탠드행거,1560.0,7170.0,3.8,51.2,0.26,0.76,15,3
1995,가방행거,80.0,450.0,0.7,0.9,0.85,0.21,15,3
1996,파티션행거,130.0,460.0,0.2,1.5,0.16,0.36,15,3
1997,옷가게인테리어소품,10.0,30.0,0.1,0.3,0.67,1.24,15,3
1998,아동복인테리어,10.0,60.0,0.1,0.0,0.67,0.0,15,3
1999,의류매장인테리어,90.0,270.0,2.1,11.1,2.35,4.21,15,3
2000,파이프인테리어,70.0,210.0,2.5,5.8,3.29,2.97,15,3
2001,행거부속품,20.0,100.0,0.3,3.8,1.63,4.08,15,3
2002,기억자행거,10.0,80.0,0.0,2.3,0.0,2.65,11,2
2003,맞춤행거,90.0,410.0,2.5,16.8,2.69,4.29,15,3
2004,이동식철제행거,50.0,230.0,0.7,3.3,1.36,1.51,15,3
2005,의류매장집기,20.0,40.0,2.3,6.5,8.4,15.48,15,3
2006,행잉,880.0,2140.0,1.2,4.8,0.15,0.25,15,3
2007,벽옷걸이,1320.0,5510.0,7.4,71.4,0.59,1.37,15,3
2008,헹거장,10.0,40.0,0.0,0.0,0.0,0.0,3,3
2009,튼튼한2단행거,20.0,200.0,0.0,0.7,0.0,0.37,3,3
2010,행거1200,20.0,70.0,0.3,0.0,1.86,0.0,3,3
2011,시스템행거비용,20.0,70.0,0.4,0.3,1.51,0.47,12,2
2012,무볼트드레스룸,20.0,210.0,0.6,2.7,1.91,1.36,4,1
2013,복층드레스룸,10.0,20.0,0.3,0.0,3.34,0.0,3,3
2014,서랍식행거,10.0,180.0,0.0,1.0,0.0,0.6,3,3
2015,드레스룸21,30.0,100.0,0.4,0.0,0.97,0.0,11,2
2016,드레스룸셀프,10.0,50.0,0.0,0.0,0.0,0.0,3,1
2017,모서리행거,50.0,340.0,0.0,1.0,0.0,0.31,3,3
2018,금속행거,30.0,40.0,1.0,0.3,2.95,0.75,15,3
2019,와이어행거,100.0,380.0,0.8,6.5,0.77,1.81,15,3
2020,행거가리개,1270.0,6970.0,2.6,66.1,0.22,1.02,15,3
2021,원단행거,80.0,70.0,3.5,4.5,4.23,6.43,15,3
2022,4단행거,120.0,770.0,0.9,14.3,0.81,2.02,15,3
2023,아기행거,490.0,7180.0,1.0,65.5,0.22,0.98,15,3
2024,선반형행거,70.0,460.0,0.4,13.5,0.58,3.03,15,3
2025,폴행거,380.0,1930.0,3.7,23.9,0.99,1.3,15,3
2026,철제옷걸이,200.0,810.0,1.3,11.4,0.68,1.5,15,3
