,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
80,남성구두,4620.0,22200.0,51.6,229.8,1.19,1.11,15,3
81,겨울모자,3480.0,32600.0,18.8,249.0,0.56,0.8,15,3
82,내빈용실내화,80.0,50.0,1.3,0.6,1.59,1.15,15,3
83,털장갑,1090.0,4730.0,2.2,14.1,0.21,0.31,15,3
84,족저근막염슬리퍼,2040.0,12800.0,26.4,448.8,1.38,3.8,15,3
85,발편한슬리퍼,1140.0,6460.0,11.1,140.4,1.05,2.35,15,3
86,실내화추천,50.0,210.0,0.0,0.7,0.0,0.34,3,3
87,병원실내화,180.0,770.0,1.3,26.5,0.81,3.67,15,3
88,체크실내화,10.0,100.0,0.0,0.0,0.0,0.0,3,3
89,일회용실내화,120.0,590.0,0.2,7.9,0.18,1.44,15,3
90,회사실내화,140.0,310.0,1.0,2.9,0.72,0.98,15,3
91,레자거실화,10.0,80.0,0.1,1.8,0.45,2.5,15,3
92,학생실내화,220.0,1230.0,1.4,36.7,0.66,3.12,15,3
93,학교실내화,410.0,3540.0,1.1,46.8,0.28,1.4,15,3
94,사무실내화,10.0,30.0,0.3,0.0,1.79,0.0,11,2
95,천실내화,110.0,1080.0,0.4,20.0,0.38,2.02,15,3
96,단체실내화,10.0,60.0,0.9,0.3,5.78,0.56,15,3
97,실내화슬리퍼,110.0,590.0,0.5,5.5,0.49,0.96,15,3
98,학원실내화,30.0,240.0,0.6,3.8,2.5,1.69,15,3
99,선생님실내화,30.0,150.0,0.1,2.0,0.42,1.37,15,3
100,레자실내화,30.0,160.0,0.5,4.3,1.73,3.0,15,3
101,실내화인쇄,10.0,10.0,1.0,0.6,5.56,5.0,15,3
102,소음방지실내화,60.0,360.0,0.9,12.5,1.56,3.8,15,3
103,흰색실내화,90.0,580.0,0.3,2.7,0.3,0.49,15,3
104,손님용실내화,40.0,90.0,0.2,1.0,0.43,1.19,5,2
105,손님용슬리퍼,80.0,230.0,0.7,1.5,0.98,0.69,15,3
106,내빈용슬리퍼,150.0,80.0,2.9,0.3,1.93,0.4,15,3
107,자수실내화,10.0,20.0,0.0,0.0,0.0,0.0,3,3
108,제작슬리퍼,10.0,30.0,0.0,0.0,0.0,0.0,12,2
109,골프장슬리퍼,10.0,20.0,0.5,0.0,10.53,0.0,4,1
110,룸슈즈,1060.0,4100.0,4.7,25.4,0.46,0.66,15,3
111,푹신한거실화,40.0,310.0,0.3,3.2,0.66,1.15,15,3
112,홈실내화,10.0,70.0,0.0,0.6,0.0,0.8,6,2
113,거실화추천,30.0,130.0,0.1,0.3,0.36,0.24,15,3
114,어린이집선생님실내화,10.0,170.0,0.1,6.0,0.75,3.95,15,3
115,실내실내화,70.0,390.0,0.2,6.8,0.3,1.9,15,3
116,모델하우스슬리퍼,50.0,100.0,1.9,0.6,3.98,0.65,15,3
117,객실화,10.0,20.0,0.7,0.3,4.86,1.09,14,3
118,실내화주문제작,10.0,10.0,0.6,0.0,4.29,0.0,15,3
119,호텔슬리퍼,310.0,1590.0,2.1,10.2,0.72,0.7,15,3
120,슬리퍼인쇄,20.0,40.0,0.7,1.8,2.47,4.61,15,3
121,정장슬리퍼,30.0,100.0,0.6,0.0,1.79,0.0,5,2
122,레자슬리퍼,60.0,170.0,0.5,2.9,0.84,1.86,15,3
123,로고슬리퍼,30.0,50.0,0.3,0.0,0.87,0.0,15,3
124,여자털실내화,20.0,110.0,0.0,0.0,0.0,0.0,3,3
125,중학교실내화,40.0,240.0,0.0,0.3,0.0,0.15,3,3
126,극세사실내화,60.0,370.0,0.3,8.5,0.59,2.44,15,3
127,거실용실내화,10.0,100.0,0.1,2.0,0.79,2.07,15,3
128,귀여운실내화,80.0,510.0,0.3,0.8,0.34,0.16,15,3
129,여자사무실실내화,10.0,20.0,0.0,0.0,0.0,0.0,5,2
130,거실화제작,10.0,10.0,0.8,0.9,7.55,7.7,10,2
131,선생님슬리퍼,70.0,390.0,1.0,4.3,1.52,1.18,15,3
132,주문제작슬리퍼,20.0,20.0,1.4,1.5,6.84,7.15,14,3
133,일회용슬리퍼,610.0,2370.0,1.3,18.2,0.22,0.81,15,3
134,모텔슬리퍼,10.0,70.0,0.0,0.0,0.0,0.0,6,2
135,유치원슬리퍼,30.0,200.0,0.0,0.3,0.0,0.18,3,3
136,왕발슬리퍼,60.0,180.0,0.0,0.7,0.0,0.4,3,3
137,독서실슬리퍼,20.0,140.0,0.0,0.0,0.0,0.0,3,3
138,슬리퍼제조,10.0,10.0,0.5,0.0,5.31,0.0,15,3
139,어린이실내화,230.0,1930.0,0.5,15.7,0.24,0.86,15,3
140,거실실내화추천,20.0,60.0,0.0,0.0,0.0,0.0,15,3
141,인쇄슬리퍼,20.0,10.0,1.8,0.3,8.39,2.71,15,3
142,따뜻한실내화,140.0,430.0,0.8,5.0,0.57,1.21,15,3
143,면실내화,290.0,2240.0,2.4,40.3,0.88,1.91,15,3
144,겨울거실화,260.0,1610.0,2.7,10.7,1.04,0.7,15,3
145,미끄럼방지슬리퍼,470.0,2760.0,2.5,32.4,0.56,1.24,15,3
146,삼선슬리퍼,1210.0,3810.0,1.3,14.5,0.12,0.41,15,3
147,보온실내화,270.0,480.0,1.0,3.5,0.37,0.74,15,3
148,가죽실내화,120.0,550.0,0.4,17.3,0.35,3.37,15,3
149,유치원교사실내화,20.0,340.0,0.1,6.5,0.38,2.11,15,3
150,학교슬리퍼,530.0,3350.0,3.1,25.5,0.61,0.81,15,3
151,논슬립슬리퍼,150.0,530.0,0.9,9.2,0.64,1.87,15,3
152,쓰레빠,290.0,1430.0,0.5,7.7,0.17,0.58,15,3
153,학원슬리퍼,40.0,370.0,0.5,6.3,1.09,1.81,15,3
154,굽있는실내화,30.0,310.0,0.1,3.0,0.24,1.05,15,3
155,거실슬리퍼추천,10.0,30.0,0.1,0.0,0.67,0.0,15,3
156,사무용슬리퍼,720.0,1220.0,4.1,19.7,0.61,1.73,15,3
157,푹신한실내화,120.0,850.0,1.3,16.0,1.04,2.04,15,3
158,쿠션실내화,220.0,1760.0,1.5,16.4,0.71,1.01,15,3
159,실내슬리퍼추천,20.0,70.0,0.0,0.0,0.0,0.0,15,3
160,슬리퍼도매,30.0,50.0,2.5,0.6,6.5,1.29,15,3
161,단체슬리퍼,50.0,50.0,3.7,1.3,6.92,3.0,15,3
162,천슬리퍼,70.0,890.0,0.8,19.8,1.2,2.33,15,3
163,미끄럼방지안전화,220.0,430.0,2.1,16.3,1.0,4.0,15,3
164,논슬립안전화,200.0,320.0,0.9,6.6,0.49,2.2,15,3
165,영양사신발,50.0,150.0,0.2,2.0,0.39,1.32,15,3
166,위생안전화,30.0,30.0,0.3,0.0,1.04,0.0,15,3
167,방수운동화,520.0,2910.0,2.5,29.8,0.53,1.12,15,3
168,미끄럼방지화,40.0,50.0,0.3,0.3,0.67,0.58,15,3
169,선상장화,830.0,3740.0,3.2,47.0,0.4,1.35,15,3
170,신발미끄럼방지,240.0,1830.0,0.5,21.2,0.21,1.23,15,3
171,낚시방한장화,30.0,350.0,0.1,0.0,0.3,0.0,11,2
172,방한안전장화,50.0,70.0,0.3,0.3,0.59,0.34,14,3
173,미끄럼방지작업화,30.0,80.0,0.2,0.0,0.63,0.0,15,3
174,보온장화,20.0,100.0,0.2,0.0,0.69,0.0,13,2
175,조리신발,10.0,70.0,0.1,0.5,0.48,0.68,15,3
176,실내화덧신,40.0,290.0,0.5,9.0,1.07,3.25,15,3
177,쿠션거실화,30.0,230.0,0.3,1.8,1.05,0.8,15,3
178,쿠션덧신,30.0,590.0,0.3,12.5,0.89,2.21,15,3
179,이쁜실내화,20.0,110.0,0.9,0.6,3.94,0.57,15,3
180,고무신발,140.0,1040.0,1.3,20.3,0.96,2.11,15,3
181,병원슬리퍼,300.0,1240.0,4.1,31.0,1.48,2.71,15,3
182,작업화,2490.0,9930.0,13.9,87.5,0.59,0.95,15,3
183,사무실슬리퍼추천,230.0,460.0,1.1,7.1,0.52,1.61,15,3
184,슬리퍼공장,20.0,20.0,1.1,2.3,4.73,8.66,15,3
185,리커버리슬리퍼,290.0,1140.0,2.3,38.3,0.84,3.6,15,3
186,사무실실내화추천,10.0,10.0,0.0,0.0,0.0,0.0,3,3
187,어린이집실내화,150.0,1920.0,1.0,29.0,0.68,1.61,15,3
188,방수신발,440.0,2130.0,1.2,7.6,0.29,0.39,15,3
189,여행용슬리퍼,110.0,480.0,0.9,0.3,0.82,0.07,15,3
190,남성슬리퍼,770.0,4180.0,4.4,33.3,0.61,0.86,15,3
191,신발깔창추천,30.0,110.0,0.1,0.3,0.45,0.3,15,3
192,여성실내화,160.0,770.0,0.9,11.6,0.62,1.59,15,3
193,스토슬리퍼,10.0,120.0,0.2,2.3,1.3,1.91,13,2
194,남성실내슬리퍼,30.0,220.0,0.4,4.5,0.96,2.15,14,3
195,남성거실화,30.0,310.0,0.3,0.5,0.87,0.18,15,3
196,고급욕실화,10.0,70.0,0.1,2.0,0.79,3.18,15,3
197,고급실내슬리퍼,20.0,100.0,0.3,0.6,1.27,0.59,15,3
