,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
0,면세점가방,300,1870,2.0,27.0,0.68,1.53,11,2
1,면세점향수,420,2470,0.0,1.3,0.0,0.06,3,3
2,N224MDW020,100,1230,0.0,0.5,0.0,1.21,2,2
3,N224WDW020,240,1940,9.0,65.9,7.47,7.61,1,1
4,TITONI,50,350,0.7,0.3,1.42,0.1,3,3
5,면세점만다리나덕,10,60,0.0,0.0,0.0,0.0,1,2
6,CPB,1190,1890,3.6,37.4,0.33,2.1,10,2
7,다미아니귀걸이,110,980,0.0,0.7,0.0,0.08,3,3
8,만다리나덕면세점,40,220,0.0,0.0,0.0,0.0,2,2
9,수려한골든콜라겐쿠션,30,400,1.3,19.8,3.47,5.42,5,2
