,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
4534,아날도바시니팬티,60.0,480.0,0.3,4.2,0.54,0.92,9,2
4535,50대남성브랜드,110.0,650.0,0.3,3.6,0.33,0.58,15,3
4536,엠포리오아르마니팬티,120.0,1110.0,0.9,22.0,0.8,2.12,15,3
4537,켈빈클라인팬티,260.0,1820.0,1.3,34.7,0.49,2.07,15,3
4538,켈빈클라인남자속옷,50.0,380.0,0.9,11.7,1.61,3.26,15,3
4539,캘빈클라인팬티,480.0,4580.0,1.3,39.3,0.28,0.92,15,3
4540,캘빈클라인커플속옷,60.0,780.0,0.9,30.6,1.53,4.19,15,3
4541,캘빈클라인남자속옷,60.0,620.0,0.7,21.0,1.19,3.65,15,3
4542,캘빈클라인남성속옷,30.0,340.0,0.0,6.0,0.0,1.87,15,3
4543,캘빈언더웨어,40.0,270.0,0.7,6.9,1.71,2.67,15,3
4544,캐빈클라인팬티,90.0,650.0,0.7,12.2,0.82,1.97,15,3
4545,CK팩토리,10.0,10.0,1.0,0.7,7.7,4.0,3,3
4546,CK커플속옷,60.0,1230.0,1.5,48.3,2.26,4.09,15,3
4547,CK여성언더웨어,10.0,100.0,0.0,1.0,0.0,1.05,3,3
4548,CK브라,60.0,750.0,0.9,21.0,1.47,2.98,15,3
4549,CK남성팬티,20.0,200.0,0.1,1.5,0.46,0.78,15,3
4550,CK남자팬티,100.0,1060.0,0.8,14.5,0.85,1.47,15,3
4551,CALVINKLEIN,480.0,4630.0,1.3,19.3,0.28,0.46,15,3
4552,캐빈클라인드로즈,60.0,810.0,0.7,21.5,1.23,2.8,15,3
4553,캘빈클라인드로즈,740.0,7800.0,5.0,78.2,0.73,1.1,15,3
4554,CK남성속옷,10.0,70.0,0.1,0.0,0.48,0.0,15,3
4555,여성언더웨어,130.0,520.0,4.1,10.0,3.29,2.03,15,3
4556,여성내의,410.0,3150.0,3.5,77.7,0.9,2.6,15,3
4557,기능성내의,150.0,710.0,1.7,14.9,1.15,2.18,15,3
4558,여자언더웨어,40.0,260.0,0.6,7.3,1.54,3.16,15,3
4559,캘빈팬티,60.0,750.0,0.2,5.8,0.34,0.82,15,3
4560,일본남자팬티,20.0,270.0,0.5,9.3,2.03,3.54,13,2
4561,오마샤리프,450.0,3930.0,0.3,2.0,0.07,0.06,15,3
4562,남자흰색팬티,20.0,160.0,0.1,2.5,0.61,1.67,15,3
4563,런닝팬티,10.0,40.0,0.0,0.0,0.0,0.0,3,3
4564,남자난닝구,50.0,300.0,0.1,4.5,0.14,1.62,15,3
4565,남자사각면팬티,10.0,50.0,0.3,0.0,2.09,0.0,4,1
4566,빌랩팬티,20.0,20.0,1.9,0.3,9.38,1.5,3,1
4567,네오코크,30.0,140.0,1.1,13.9,3.19,9.8,10,2
4568,트렁크팬티,1140.0,11100.0,4.0,69.3,0.37,0.66,15,3
4569,인견팬티,140.0,1490.0,0.8,29.0,0.59,2.09,15,3
4570,엠포리오아르마니속옷,30.0,280.0,0.4,5.8,1.25,2.19,15,3
4571,케빈클라인속옷,90.0,820.0,1.7,44.2,2.02,5.86,15,3
4572,켈빈클라인드로즈,90.0,540.0,0.7,5.0,0.79,1.03,15,3
4573,메리아스,330.0,1930.0,0.3,15.0,0.09,0.84,15,3
4574,유언더웨어,290.0,870.0,0.2,0.8,0.07,0.1,12,2
4575,트렁크속옷,10.0,40.0,0.0,0.0,0.0,0.0,10,2
4576,친환경속옷,20.0,70.0,0.2,1.6,1.01,2.25,15,3
4577,CK남자언더웨어,10.0,70.0,0.1,1.0,0.56,1.41,15,3
4578,통풍팬티,20.0,220.0,0.1,4.5,0.25,2.22,15,3
4579,슬림핏트렁크,10.0,70.0,0.3,1.2,2.57,1.69,14,3
4580,텐셀속옷,20.0,70.0,0.7,0.6,3.34,0.94,15,3
4581,골지팬티,10.0,110.0,0.0,0.0,0.0,0.0,3,3
4582,정력팬티,50.0,240.0,1.2,20.0,4.0,10.42,15,3
4583,명품언더웨어,10.0,60.0,0.1,0.0,0.52,0.0,15,3
4584,사타구니팬티,10.0,40.0,0.0,0.0,0.0,0.0,3,1
4585,메쉬팬티,20.0,60.0,0.1,1.4,0.61,2.24,15,3
4586,로우라이즈드로즈,10.0,30.0,0.0,0.3,0.0,0.96,3,3
4587,UNDERWEAR,300.0,980.0,0.7,8.4,0.26,0.93,15,3
4588,등산용속옷,30.0,130.0,0.2,2.8,0.65,2.22,15,3
4589,남자친구속옷선물,10.0,50.0,0.3,0.0,1.86,0.0,12,2
4590,남자이너,70.0,360.0,0.2,1.0,0.26,0.28,11,2
4591,남성이너,20.0,70.0,0.0,0.3,0.0,0.47,3,3
4592,남자이너티셔츠,300.0,1400.0,1.5,13.1,0.56,0.99,15,3
4593,사각트렁크,30.0,220.0,0.0,0.3,0.0,0.16,3,3
4594,빅사이즈언더웨어,10.0,30.0,1.0,4.0,7.7,11.3,15,3
4595,삼각팬티,400.0,3840.0,3.3,36.9,0.88,1.01,15,3
4596,반팔런닝,150.0,720.0,0.3,8.0,0.23,1.23,15,3
4597,빅사이즈런닝,20.0,100.0,0.3,3.5,1.76,3.4,15,3
4598,언더레이어,520.0,2010.0,1.1,24.1,0.22,1.28,15,3
4599,홈쇼핑드로즈,10.0,100.0,0.0,1.5,0.0,1.62,15,3
4600,코튼팬티,10.0,120.0,0.3,1.8,1.67,1.51,15,3
4601,풍기인견팬티,60.0,430.0,1.3,13.5,2.26,3.35,15,3
4602,남자보정나시,430.0,1360.0,2.2,19.3,0.52,1.46,15,3
4603,남성보정속옷,120.0,1280.0,2.5,25.1,2.13,2.03,15,3
4604,등산팬티,30.0,150.0,0.1,2.0,0.4,1.32,15,3
4605,모달사각팬티,20.0,370.0,0.2,10.5,0.69,2.97,15,3
4606,트라이남자팬티,20.0,110.0,0.0,1.3,0.0,1.15,15,3
4607,50대남자속옷,10.0,40.0,0.2,0.0,1.52,0.0,7,2
4608,남자팬티모델,10.0,130.0,0.0,0.9,0.0,0.79,3,3
4609,남자등산반바지,20.0,280.0,0.1,0.0,0.25,0.0,15,3
4610,남자면삼각팬티,10.0,110.0,0.5,1.2,3.81,1.05,15,3
4611,남자삼각드로즈,10.0,40.0,0.3,0.0,2.86,0.0,4,1
4612,남자속옷모델,20.0,140.0,0.1,0.0,0.27,0.0,15,3
4613,남자속옷선물,20.0,120.0,0.2,0.3,0.8,0.28,15,3
4614,남자숏반바지,10.0,90.0,0.3,1.2,2.39,1.4,15,3
4615,BYLAP,10.0,60.0,0.0,0.0,0.0,0.0,3,3
4616,남성내복,590.0,2880.0,4.2,55.9,0.75,2.02,15,3
4617,남자발열내의,90.0,460.0,0.9,7.7,0.97,1.71,15,3
4618,남성내의,340.0,1800.0,3.5,37.8,1.04,2.2,15,3
4619,남자내의,290.0,1570.0,3.0,39.4,1.08,2.61,15,3
4620,팬티,3390.0,27700.0,13.8,296.7,0.44,1.14,15,3
4621,슈럭,60.0,330.0,1.8,5.6,2.83,1.81,6,2
4622,러닝셔츠,190.0,580.0,0.2,4.6,0.11,0.85,15,3
4623,플렉스팩,10.0,30.0,0.0,0.8,0.0,3.13,5,2
4624,보정속옷남자,10.0,10.0,0.7,0.9,6.67,7.9,3,3
4625,보정런닝,30.0,310.0,0.3,8.3,0.87,2.81,15,3
4626,남자내복,1160.0,8900.0,9.2,79.7,0.83,0.93,15,3
4627,남자엉뽕,10.0,130.0,0.0,0.3,0.0,0.28,3,3
4628,트라이팬티,100.0,900.0,0.9,9.7,0.86,1.14,15,3
4629,남자힙업,20.0,180.0,0.0,0.0,0.0,0.0,15,3
4630,남자반팔런닝,150.0,1100.0,0.4,16.2,0.28,1.56,15,3
4631,땀흡수티셔츠,10.0,60.0,0.3,0.3,2.09,0.56,4,1
4632,등산용내의,60.0,110.0,0.5,2.0,0.8,1.87,15,3
4633,코끼리팬티,450.0,2680.0,2.0,21.2,0.48,0.86,15,3
4634,휠라팬티,170.0,1820.0,1.4,16.8,0.94,0.99,15,3
4635,휠라드로즈,110.0,1430.0,0.3,12.8,0.25,0.95,15,3
4636,여성내복,710.0,5850.0,5.3,140.6,0.76,2.51,15,3
4637,필라인티모,10.0,130.0,0.8,3.6,5.48,2.82,5,2
4638,휠라삼각팬티,10.0,230.0,0.2,1.8,2.67,0.84,9,2
4639,필라속옷세트,10.0,260.0,0.3,5.4,1.87,2.21,13,2
4640,필라팬티,70.0,820.0,0.0,5.2,0.0,0.68,15,3
4641,휠라여성속옷,40.0,530.0,0.4,11.6,0.94,2.39,15,3
4642,휠라여성팬티,110.0,1860.0,0.9,24.3,0.76,1.42,15,3
4643,휠라티바,10.0,180.0,0.1,4.8,0.65,2.83,12,2
4644,FILA속옷,40.0,370.0,0.5,4.8,1.2,1.38,15,3
4645,휠라스포츠브라,60.0,1010.0,0.5,14.4,0.84,1.53,15,3
4646,골프베이스레이어,70.0,320.0,0.3,1.0,0.54,0.33,15,3
4647,휠라노와이어브라,40.0,710.0,0.2,7.3,0.52,1.09,15,3
4648,필라이너웨어,20.0,120.0,0.4,7.7,2.34,6.82,11,2
4649,스포츠언더웨어,80.0,400.0,0.3,5.7,0.36,1.48,15,3
4650,여자내복,320.0,2390.0,3.1,38.0,1.02,1.69,15,3
4651,휠라파자마,10.0,150.0,0.0,0.7,0.0,0.47,3,3
4652,휠라속옷매장,10.0,210.0,0.2,0.3,2.36,0.15,12,2
4653,여성골프이너웨어,190.0,3520.0,1.0,18.7,0.53,0.57,15,3
4654,남자스판반바지,10.0,130.0,0.0,1.3,0.0,1.09,15,3
4655,휠라잠옷,20.0,770.0,0.1,4.7,0.26,0.66,15,3
4656,겨울내복,540.0,3240.0,7.8,94.7,1.54,3.07,15,3
4657,필라드로즈,40.0,440.0,0.2,4.4,0.42,1.07,15,3
4658,필라스포츠브라,10.0,120.0,0.4,0.8,3.48,0.67,12,2
4659,동내의,150.0,1140.0,2.9,11.0,1.96,1.01,15,3
4660,명품수영복,40.0,560.0,0.1,2.3,0.15,0.44,15,3
4661,휠라브라세트,50.0,920.0,0.9,11.0,1.8,1.27,15,3
4662,휠라노와이어,20.0,400.0,0.5,5.1,1.87,1.35,15,3
4663,여자내의,70.0,630.0,1.7,17.2,2.35,2.85,15,3
4664,겨울내의,340.0,1590.0,5.1,48.3,1.58,3.18,15,3
4665,여성모달팬티,90.0,900.0,1.5,8.0,1.6,0.95,15,3
4666,라인없는팬티,10.0,140.0,0.2,1.5,1.82,1.12,15,3
4667,레깅스이너,20.0,240.0,1.0,5.8,4.39,2.56,14,3
4668,휠라홈웨어,10.0,170.0,0.0,0.7,0.0,0.39,3,3
4669,여성노라인팬티,50.0,470.0,0.6,11.0,1.16,2.43,15,3
4670,필라노와이어,10.0,160.0,0.1,2.0,0.56,1.28,15,3
4671,기능성이너웨어,170.0,1220.0,2.4,8.0,1.47,0.7,15,3
4672,여성코트,4840.0,51700.0,30.1,290.2,0.65,0.58,15,3
4673,남자코트,9170.0,53000.0,41.6,398.5,0.48,0.78,15,3
4674,여성자켓,4010.0,44500.0,28.7,185.8,0.78,0.46,15,3
4675,여자쇼핑몰,3060.0,10800.0,85.3,395.3,2.96,3.92,15,3
4676,코오롱웨더코트,110.0,1110.0,0.5,10.7,0.44,1.09,12,2
4677,여성가디건,4650.0,45300.0,43.1,246.3,1.01,0.61,15,3
4678,20대여자쇼핑몰,1300.0,5640.0,42.8,261.9,3.48,4.98,15,3
4679,여자20대쇼핑몰,130.0,320.0,5.5,10.6,4.2,3.39,15,3
4680,여자롱코트,480.0,3320.0,3.7,5.1,0.8,0.17,15,3
4681,핸드메이드코트,8720.0,81900.0,121.8,1335.0,1.46,1.72,15,3
4682,지센코트,290.0,4020.0,5.7,27.0,2.04,0.71,13,2
4683,남성코트,3090.0,15800.0,15.1,142.2,0.52,0.94,15,3
4684,후리스,45700.0,313200.0,205.8,2328.7,0.48,0.79,15,3
4685,겨울여성코트,620.0,7820.0,11.3,92.5,1.87,1.24,15,3
4686,코트,12200.0,112400.0,25.8,139.3,0.23,0.13,15,3
4687,코오롱스포츠웨더코트,40.0,340.0,0.1,1.3,0.23,0.42,10,2
4688,롱원피스,2720.0,41400.0,16.1,148.8,0.65,0.4,15,3
4689,여성의류쇼핑몰,5690.0,54100.0,227.0,2539.1,4.27,5.06,15,3
4690,여성롱가디건,760.0,7980.0,7.3,44.5,1.05,0.62,15,3
4691,가디건,13800.0,119800.0,34.1,353.5,0.27,0.33,15,3
4692,유니클로코트,620.0,4400.0,0.4,1.3,0.08,0.04,7,2
4693,여성원피스,1650.0,21900.0,20.9,219.8,1.38,1.1,15,3
4694,블라우스,4790.0,43100.0,33.1,205.5,0.75,0.53,15,3
4695,30대여성쇼핑몰,2170.0,17700.0,66.9,729.3,3.3,4.43,15,3
4696,여자코트,2650.0,17000.0,13.1,30.6,0.52,0.19,15,3
4697,가죽자켓,7140.0,76700.0,80.1,673.3,1.22,0.97,15,3
4698,여성블라우스,1010.0,13500.0,13.7,85.6,1.46,0.7,15,3
4699,니트가디건,3760.0,41300.0,24.7,184.0,0.71,0.49,15,3
4700,명품스타일여성의류,80.0,260.0,9.9,12.5,12.58,5.19,15,3
4701,겨울코트,3860.0,29200.0,15.5,105.7,0.42,0.38,15,3
4702,여성겨울코트,1690.0,16400.0,26.4,185.2,1.65,1.2,15,3
4703,여성바람막이,880.0,7950.0,6.4,80.0,0.84,1.15,15,3
4704,여자가디건,1240.0,10400.0,7.9,18.3,0.69,0.2,15,3
4705,여성니트가디건,530.0,6160.0,5.9,36.6,1.24,0.66,15,3
4706,하객룩쇼핑몰,1160.0,4640.0,61.7,236.9,5.52,5.45,15,3
4707,여성울코트,730.0,6930.0,7.3,34.8,1.04,0.53,15,3
4708,여성롱코트,1280.0,13000.0,12.9,61.6,1.05,0.49,15,3
4709,여자청바지,1640.0,16000.0,25.7,152.0,1.67,1.04,15,3
4710,캐시미어코트,6690.0,68100.0,28.0,204.4,0.44,0.32,15,3
4711,누보텐,150.0,620.0,4.2,20.3,2.87,3.59,14,3
4712,20대하객룩,980.0,5300.0,21.7,135.3,2.35,2.77,15,3
4713,트렌치코트,7210.0,71100.0,20.5,20.8,0.32,0.04,15,3
4714,여성조끼,2600.0,26100.0,25.0,138.8,1.03,0.58,15,3
4715,핸드메이드롱코트,560.0,5310.0,5.5,48.7,1.01,0.96,15,3
4716,남자블레이저,1620.0,8970.0,9.0,77.5,0.61,0.95,15,3
4717,가을원피스,2440.0,29200.0,23.5,228.4,1.11,0.94,15,3
4718,가을옷,1430.0,8920.0,8.6,136.2,0.7,1.81,15,3
4719,여름자켓,70.0,1040.0,0.3,1.7,0.37,0.18,15,3
4720,남자여름코디,100.0,360.0,0.5,3.3,0.53,0.94,15,3
4721,여성패딩조끼,5410.0,72500.0,32.9,407.9,0.64,0.59,15,3
4722,여자겨울코트,1000.0,6600.0,10.5,30.5,1.09,0.49,15,3
4723,플리스,8530.0,54100.0,37.1,478.5,0.46,0.95,15,3
4724,플리스자켓,9280.0,70700.0,55.4,712.7,0.63,1.07,15,3
4725,트위드자켓,12000.0,140400.0,43.7,225.4,0.39,0.18,15,3
4726,여름바람막이,100.0,700.0,0.9,11.0,0.93,1.73,15,3
4727,여성여름자켓,20.0,760.0,0.0,1.3,0.0,0.19,15,3
4728,울코트,2960.0,23500.0,10.1,20.8,0.36,0.1,15,3
4729,밍크코트,1890.0,19500.0,23.9,376.8,1.33,2.03,15,3
4730,여성바람막이자켓,110.0,750.0,0.3,9.8,0.32,1.47,15,3
4731,롱코트,3170.0,25400.0,7.2,64.4,0.24,0.27,15,3
4732,양털후리스,5920.0,56600.0,30.6,571.5,0.54,1.06,15,3
4733,여자츄리닝세트,820.0,8980.0,16.1,179.3,2.1,2.16,15,3
4734,여성바지,1550.0,15200.0,16.5,119.1,1.14,0.85,15,3
4735,남자티,380.0,2770.0,2.4,15.8,0.68,0.63,15,3
4736,여자바람막이,440.0,3120.0,4.9,41.8,1.2,1.53,15,3
4737,스커트,3260.0,30500.0,10.0,116.5,0.33,0.42,15,3
4738,뽀글이후리스,2770.0,25500.0,17.6,134.8,0.66,0.55,15,3
4739,윈드브레이커,7120.0,36100.0,5.3,108.3,0.08,0.32,15,3
4740,여성하프코트,1290.0,11300.0,8.5,55.2,0.68,0.51,15,3
4741,남자코트브랜드,1580.0,7290.0,3.7,5.3,0.25,0.08,15,3
4742,바람막이자켓,390.0,1650.0,1.5,14.4,0.43,0.98,15,3
4743,케이프코트,2910.0,32100.0,8.3,77.2,0.3,0.26,15,3
4744,뽀글이,6450.0,57000.0,19.8,220.9,0.32,0.41,15,3
4745,뽀글이자켓,3080.0,30200.0,13.2,86.0,0.45,0.3,15,3
4746,여성웨더코트,20.0,170.0,0.0,2.5,0.0,1.56,10,2
4747,패딩브랜드,5080.0,41800.0,32.0,300.2,0.66,0.75,15,3
4748,하프코트,3590.0,29500.0,8.5,36.8,0.25,0.13,15,3
4749,숏코트,4070.0,42000.0,7.5,5.3,0.2,0.02,15,3
4750,롱후리스,3440.0,41200.0,15.9,214.2,0.49,0.55,15,3
4751,후리스추천,2320.0,18500.0,11.1,88.4,0.51,0.51,15,3
4752,20대여자옷쇼핑몰,30.0,90.0,0.7,6.3,1.97,7.11,15,3
4753,여자의류쇼핑몰,80.0,430.0,2.8,19.0,3.5,4.71,15,3
4754,여성점퍼,1780.0,19600.0,12.8,163.5,0.78,0.9,15,3
4755,오버핏코트,1270.0,6860.0,1.1,15.6,0.1,0.24,15,3
4756,여성핸드메이드코트,570.0,5200.0,10.9,35.1,1.98,0.71,15,3
4757,여자경량패딩,2870.0,23600.0,14.3,208.2,0.52,0.93,15,3
4758,아노락바람막이,820.0,6830.0,4.5,57.1,0.61,0.93,15,3
4759,CENTURY21,60.0,100.0,1.3,6.9,2.0,7.39,3,1
4760,센츄리21,730.0,1480.0,0.7,1.3,0.1,0.1,7,2
