,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
81,마스크100매,230.0,1010.0,0.5,0.6,0.23,0.07,15,3
82,할로윈마스크,2200.0,20500.0,13.2,335.0,0.65,1.76,15,3
83,KF94어린이마스크,10.0,1810.0,0.1,0.6,0.75,0.04,15,3
84,약국마스크,100.0,2580.0,0.1,1.7,0.08,0.07,15,3
85,어린이캐릭터마스크,20.0,180.0,0.7,3.5,3.34,2.15,15,3
86,유아마스크KF94,30.0,640.0,0.2,19.0,0.61,3.18,15,3
87,유아용마스크,130.0,680.0,0.7,14.5,0.59,2.29,15,3
88,호랑이마스크,210.0,2290.0,0.1,23.6,0.04,1.09,15,3
89,수술용마스크,190.0,680.0,0.7,4.6,0.41,0.7,15,3
90,식약처마스크,110.0,230.0,0.0,0.0,0.0,0.0,15,3
91,아동마스크,220.0,2880.0,0.7,28.9,0.32,1.05,15,3
92,검정색마스크,100.0,730.0,0.2,12.0,0.22,1.75,15,3
93,2D마스크,180.0,780.0,1.5,10.3,0.85,1.39,15,3
94,아동용마스크,20.0,150.0,0.0,1.8,0.0,1.25,15,3
95,새부리마스크,2930.0,16100.0,16.5,280.1,0.59,1.85,15,3
96,어린이마스크,1910.0,16100.0,7.7,308.2,0.43,2.02,15,3
97,KF94블랙마스크,20.0,560.0,0.0,2.3,0.0,0.4,15,3
98,KF94마스크50매,80.0,280.0,0.7,4.8,0.88,1.8,15,3
99,얇은마스크,240.0,1920.0,1.4,41.9,0.62,2.37,15,3
100,부직포마스크,100.0,790.0,0.3,10.3,0.28,1.38,15,3
101,국내산일회용마스크,10.0,710.0,0.0,0.0,0.0,0.0,14,3
102,마스크94,330.0,2270.0,1.8,48.1,0.58,2.21,15,3
103,중학생마스크,70.0,660.0,0.8,15.0,1.1,2.39,15,3
104,국내생산마스크,10.0,10.0,0.3,0.0,3.34,0.0,15,3
105,나노마스크,110.0,800.0,0.3,16.5,0.32,2.18,15,3
106,검은색마스크,120.0,930.0,0.3,7.3,0.24,0.85,15,3
107,마스크회사,100.0,340.0,1.1,1.9,1.09,0.61,15,3
108,식약처인증마스크,20.0,80.0,0.0,1.1,0.0,1.39,15,3
109,마스크KF80,80.0,600.0,0.4,7.5,0.52,1.31,15,3
110,순면마스크,350.0,1750.0,2.6,54.4,0.75,3.34,15,3
111,마스크KF94,620.0,3070.0,3.2,55.6,0.54,1.89,15,3
112,전면마스크,180.0,640.0,0.4,9.5,0.23,1.55,15,3
113,의료용마스크,130.0,630.0,1.0,7.3,0.79,1.23,15,3
