,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
4507,우드롤테이블,960.0,2910.0,1.6,25.8,0.2,0.96,15,3
4508,낚시용아이스박스,270.0,1520.0,2.7,42.7,1.11,3.13,15,3
4509,화로대테이블,2150.0,11900.0,1.4,0.0,0.07,0.0,14,3
4510,종이아이스박스,110.0,320.0,3.7,20.3,3.78,6.35,14,3
4511,접이식야외테이블,230.0,1510.0,2.5,40.3,1.18,2.85,15,3
4512,캠핑난로,11200.0,56600.0,70.1,1075.6,0.66,2.04,15,3
4513,듀라테이블,1100.0,1070.0,5.9,19.6,0.57,1.98,15,3
4514,캠핑용품세트,160.0,700.0,1.6,20.1,1.04,3.15,15,3
4515,캠핑용품풀세트,420.0,2320.0,8.4,96.0,2.09,4.45,15,3
4516,캠핑접이식테이블,440.0,2660.0,0.5,22.9,0.12,0.92,15,3
4517,미니아이스박스,380.0,2610.0,0.6,24.8,0.17,1.01,15,3
4518,캠핑롤테이블,1040.0,6640.0,2.8,54.0,0.3,0.88,15,3
4519,캠핑용테이블,840.0,3560.0,5.9,61.3,0.73,1.87,15,3
4520,브로몰딩테이블,460.0,1430.0,5.5,37.7,1.26,2.78,15,3
4521,카즈미릴렉스체어,350.0,2100.0,0.3,9.3,0.08,0.49,15,3
4522,접이식책상,2620.0,12400.0,11.5,77.5,0.46,0.66,15,3
4523,캠핑테이블의자,140.0,580.0,0.4,8.7,0.29,1.62,15,3
4524,라이프타임테이블,920.0,3900.0,7.6,87.7,0.88,2.43,15,3
4525,접이식탁자,520.0,2390.0,8.4,88.4,1.67,3.94,15,3
4526,롤테이블,1790.0,7230.0,3.7,41.0,0.22,0.62,15,3
4527,접이식캠핑테이블,840.0,7410.0,4.1,54.8,0.51,0.79,15,3
4528,바퀴달린아이스박스,100.0,610.0,0.3,10.1,0.33,1.84,15,3
4529,대형아이스박스,360.0,2640.0,6.4,56.0,1.87,2.25,15,3
4530,플라스틱야외테이블,130.0,790.0,1.9,18.9,1.55,2.58,15,3
4531,캠핑아이스박스추천,110.0,470.0,0.1,2.5,0.07,0.59,15,3
4532,야외가구,360.0,710.0,21.2,43.2,6.35,6.76,15,3
4533,접이식간이테이블,280.0,1550.0,2.1,12.2,0.78,0.86,15,3
4534,밥상,4010.0,29300.0,19.4,475.5,0.51,1.74,15,3
4535,폴딩테이블,740.0,3440.0,1.8,22.6,0.26,0.72,15,3
4536,야외용테이블,530.0,2230.0,11.7,103.6,2.32,5.01,15,3
4537,접이식작업대,380.0,1660.0,2.0,15.8,0.55,1.02,15,3
4538,캠핑등,830.0,5270.0,5.0,66.8,0.66,1.38,15,3
4539,바퀴아이스박스,100.0,970.0,0.5,2.9,0.53,0.33,15,3
4540,캠핑우드체어,80.0,720.0,0.2,3.9,0.28,0.56,15,3
4541,캠핑테이블체어,20.0,50.0,0.0,0.0,0.0,0.0,3,3
4542,접이식원형테이블,340.0,1970.0,1.9,19.6,0.58,1.06,15,3
4543,캠핑우드테이블,840.0,3260.0,1.5,25.7,0.22,0.86,15,3
4544,브로몰딩,180.0,250.0,2.2,1.5,1.21,0.65,15,3
4545,캠핑카,13000.0,88700.0,146.4,3081.1,1.18,3.77,15,3
4546,야외테이블세트,1620.0,11000.0,44.7,416.0,2.96,4.11,15,3
4547,행사용테이블,320.0,800.0,7.1,38.6,2.34,5.18,15,3
4548,의료용아이스박스,60.0,20.0,1.4,0.7,2.34,3.28,15,3
4549,종이보냉박스,370.0,890.0,12.9,58.4,3.66,6.96,15,3
4550,캠핑냉장고추천,70.0,330.0,0.4,7.5,0.56,2.39,15,3
4551,전기아이스박스,70.0,340.0,0.1,7.3,0.2,2.28,15,3
4552,차박캠핑용품,130.0,660.0,1.1,13.8,0.91,2.26,15,3
4553,야외탁자,110.0,540.0,3.1,28.4,2.96,5.75,15,3
4554,캠핑우드롤테이블,530.0,2530.0,0.5,11.2,0.12,0.46,15,3
4555,캠핑용의자,1010.0,2760.0,4.7,43.3,0.51,1.73,15,3
4556,조립식테이블,310.0,930.0,1.3,15.9,0.44,1.79,15,3
4557,캠핑용품쇼핑몰,130.0,240.0,1.9,13.8,1.55,5.81,15,3
4558,캠핑용접이식테이블,100.0,550.0,0.1,8.4,0.14,1.62,15,3
4559,카즈미테이블,440.0,2840.0,0.0,0.3,0.0,0.02,3,3
4560,캠핑히터,2170.0,14700.0,7.3,133.0,0.36,0.96,15,3
4561,감성텐트,800.0,4810.0,7.5,113.8,1.0,2.6,15,3
4562,접이식테이블1200,100.0,1200.0,1.1,7.3,1.03,0.62,15,3
4563,홈캠핑,420.0,1410.0,0.2,5.8,0.05,0.45,15,3
4564,캠핑용랜턴,330.0,1190.0,1.3,13.9,0.41,1.28,15,3
4565,감성랜턴,760.0,4840.0,3.1,47.3,0.45,1.03,15,3
4566,친환경아이스박스,20.0,60.0,0.1,0.3,0.24,0.6,15,3
4567,휴대용아이스박스,70.0,300.0,0.3,7.3,0.44,2.62,15,3
4568,미니멀캠핑용품,240.0,1620.0,0.9,14.7,0.4,0.97,15,3
4569,외부테이블,60.0,90.0,0.3,0.5,0.62,0.57,15,3
4570,얼음보관통,150.0,1100.0,0.0,5.7,0.0,0.55,15,3
4571,아이스박스테이블,20.0,110.0,0.0,0.0,0.0,0.0,3,3
4572,감성캠핑용품,1280.0,9030.0,15.1,213.7,1.26,2.55,15,3
4573,캠핑의자추천,820.0,3590.0,3.1,50.2,0.41,1.55,15,3
4574,좌식테이블,4130.0,21600.0,13.8,162.8,0.36,0.81,15,3
4575,보냉가방,2250.0,15900.0,18.8,269.3,0.89,1.82,15,3
4576,사무실레이아웃,420.0,240.0,4.8,5.1,1.18,2.2,15,3
4577,캠핑침대,1420.0,7980.0,1.3,24.1,0.1,0.33,15,3
4578,행사테이블,180.0,440.0,1.3,8.5,0.75,2.06,15,3
4579,브로몰딩접이식테이블,80.0,1630.0,0.8,2.3,0.97,0.15,15,3
4580,편의점테이블,560.0,2830.0,5.3,57.2,1.01,2.19,15,3
4581,야외접이식테이블,200.0,1060.0,1.5,21.7,0.79,2.21,15,3
4582,휴대용테이블,250.0,1280.0,0.6,2.5,0.25,0.21,15,3
4583,전시테이블,190.0,210.0,2.6,5.7,1.35,2.86,15,3
4584,연회장테이블,40.0,40.0,0.4,0.0,0.9,0.0,15,3
4585,텐트추천,1420.0,7600.0,15.1,168.0,1.15,2.41,15,3
4586,절탁자,310.0,260.0,1.3,4.4,0.45,1.86,15,3
4587,캠핑의자1+1,1850.0,10800.0,15.9,197.5,0.92,1.98,15,3
4588,캠핑용난로,1240.0,5100.0,8.9,125.5,0.76,2.64,15,3
4589,가스난로,4580.0,29800.0,29.7,429.2,0.68,1.5,15,3
4590,캠핑테이블세트,200.0,1540.0,0.5,30.8,0.29,2.13,15,3
4591,캠핑테이블추천,390.0,1660.0,0.4,12.3,0.11,0.8,15,3
4592,캠핑용야전침대,70.0,250.0,0.0,5.3,0.0,2.25,15,3
4593,차박캠핑,550.0,1640.0,0.9,5.3,0.17,0.36,15,3
4594,캠핑롤테이블추천,20.0,90.0,0.0,0.0,0.0,0.0,3,3
4595,미니캠핑테이블,110.0,1800.0,0.0,3.3,0.0,0.19,15,3
