,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
2148,부산놀러갈만한곳,220.0,1140.0,0.0,0.3,0.0,0.04,3,3
2149,부산갈만한곳,1820.0,20200.0,2.4,105.8,0.14,0.57,15,3
2150,부산해운대,4120.0,18600.0,1.9,65.3,0.05,0.39,15,3
2151,부산이색체험,160.0,900.0,0.5,7.4,0.33,0.87,15,3
2152,부산송도가볼만한곳,350.0,2960.0,0.6,15.0,0.19,0.55,6,2
2153,광안리데이트,260.0,1620.0,0.3,0.3,0.11,0.03,15,3
2154,부산광안리,3210.0,14100.0,5.2,44.7,0.18,0.35,8,2
2155,부산1박2일,920.0,2280.0,0.5,1.0,0.06,0.05,14,3
2156,부산혼자여행,1130.0,5370.0,1.4,7.3,0.14,0.15,14,3
2157,부산체험,850.0,4060.0,2.3,31.4,0.28,0.83,15,3
2158,디너크루즈,140.0,490.0,0.6,7.5,0.46,1.68,11,2
2159,부산크루즈여행,290.0,3080.0,5.7,115.5,2.09,4.1,15,3
2160,카타마란요트,50.0,210.0,0.0,0.0,0.0,0.0,3,3
2161,부산핫플레이스,510.0,4170.0,0.5,34.3,0.11,0.87,15,3
2162,보트대여,60.0,320.0,1.3,10.3,1.95,3.47,15,3
2163,광안대교유람선,20.0,130.0,0.0,0.3,0.0,0.22,3,3
2164,해운대요트가격,10.0,80.0,0.0,0.0,0.0,0.0,3,3
2165,요트구매,190.0,620.0,7.3,30.0,4.0,5.09,14,3
2166,부산당일치기여행,340.0,1530.0,0.6,10.7,0.2,0.75,15,3
2167,부산에가볼만한곳,120.0,1150.0,0.5,26.0,0.42,2.42,15,3
2168,부산어린이체험,350.0,3120.0,2.3,36.8,0.7,1.27,15,3
2169,부산관광명소,270.0,760.0,0.9,8.0,0.33,1.1,15,3
2170,부산나들이,250.0,1810.0,0.0,1.3,0.0,0.09,3,3
2171,해운대데이트코스,170.0,750.0,0.5,2.1,0.29,0.3,4,1
2172,국내혼자여행하기좋은곳,1840.0,8440.0,3.1,39.1,0.18,0.51,15,3
2173,부산해운대여행,240.0,690.0,0.1,1.0,0.04,0.16,14,3
2174,국내여행지추천,155900.0,31100.0,208.9,181.9,0.15,0.63,15,3
2175,남포동놀거리,1050.0,12400.0,2.4,53.7,0.25,0.47,9,2
2176,부산여행2박3일,220.0,660.0,1.5,12.3,0.7,1.96,15,3
2177,기업연회,30.0,20.0,0.5,0.6,1.34,2.25,15,3
2178,크루즈대여,10.0,40.0,0.0,0.0,0.0,0.0,3,1
2179,부산수영만요트,10.0,90.0,0.0,0.0,0.0,0.0,3,3
2180,요트카페,20.0,30.0,0.0,0.0,0.0,0.0,3,3
2181,영종도여행코스,30.0,170.0,0.0,0.0,0.0,0.0,3,3
2182,한강자전거코스,220.0,890.0,0.0,0.0,0.0,0.0,3,3
2183,국내액티비티,390.0,1600.0,1.0,8.6,0.27,0.58,15,3
2184,부산근교가볼만한곳,1180.0,13600.0,3.1,106.8,0.29,0.87,15,3
2185,부산프로포즈장소,40.0,110.0,0.2,4.8,0.39,4.49,13,2
2186,유람선대여,10.0,30.0,0.5,0.8,3.34,2.64,4,1
2187,부산어린이가볼만한곳,100.0,960.0,0.3,6.2,0.28,0.71,15,3
2188,해운대낚시,130.0,450.0,1.3,19.0,1.02,4.51,7,2
2189,우리나라가볼만한곳,490.0,5100.0,1.7,41.0,0.36,0.86,15,3
2190,유람선,1850.0,7840.0,1.4,19.3,0.09,0.28,15,3
2191,요트,3130.0,13400.0,16.1,131.5,0.55,1.06,15,3
2192,부산광안리가볼만한곳,230.0,1400.0,0.0,1.7,0.0,0.14,8,2
2193,요트렌트,30.0,100.0,1.3,6.2,3.75,6.63,14,3
2194,태종대유람선,570.0,4420.0,1.9,34.3,0.36,0.84,8,2
2195,혼자국내여행,740.0,2580.0,3.5,22.3,0.51,0.92,15,3
2196,한강데이트,390.0,2500.0,0.2,0.7,0.07,0.04,14,3
2197,기장가볼만한곳,3190.0,48600.0,5.7,347.3,0.2,0.77,15,3
2198,국내여행지,4110.0,12500.0,5.5,12.3,0.15,0.11,15,3
2199,용호동요트,20.0,110.0,1.5,1.0,7.9,1.0,2,2
2200,부산다이아몬드베이,20.0,120.0,0.0,0.5,0.0,0.46,2,2
2201,용호만다이아몬드베이,10.0,30.0,0.0,0.0,0.0,0.0,1,2
2202,부산요트펜션,10.0,100.0,0.7,0.0,5.18,0.0,4,1
2203,제트보트,380.0,3560.0,0.2,0.0,0.07,0.0,14,3
2204,요트매매,100.0,370.0,6.3,42.0,6.43,12.47,11,2
2205,요트판매,60.0,350.0,1.9,2.5,3.03,0.75,15,3
2206,부안위도펜션,40.0,300.0,1.4,14.5,3.02,5.17,10,2
2207,커플체험,70.0,590.0,0.3,1.8,0.41,0.33,15,3
2208,BENETEAU,20.0,30.0,0.0,0.5,0.0,1.39,2,2
2209,중고요트,410.0,1300.0,17.0,87.3,4.38,7.21,13,2
2210,요트구입,30.0,90.0,2.2,5.8,6.1,6.77,9,2
2211,보트체험,10.0,60.0,0.0,0.3,0.0,0.59,3,3
2212,요트숙박,80.0,320.0,1.1,10.5,1.27,3.53,15,3
2213,국내여행,8440.0,35500.0,50.7,556.5,0.64,1.67,15,3
2214,SEABOB,30.0,80.0,0.0,3.3,0.0,4.05,4,1
2215,가덕도낚시,480.0,3160.0,1.7,3.7,0.37,0.14,3,3
2216,경성대방탈출,60.0,920.0,0.0,0.0,0.0,0.0,3,3
2217,광안리패들보드,70.0,460.0,0.7,0.3,0.92,0.09,3,3
2218,국내투어,160.0,680.0,1.3,18.0,0.85,2.79,15,3
2219,기장군가볼만한곳,80.0,520.0,0.0,0.0,0.0,0.0,3,3
2220,기장군맛집,180.0,1120.0,0.5,2.3,0.26,0.23,15,3
2221,기장선상낚시,30.0,90.0,0.6,2.3,1.9,2.48,7,2
2222,낚시배,760.0,3730.0,5.5,31.7,0.77,0.93,15,3
2223,남포동연극,320.0,2800.0,3.8,180.3,1.23,6.89,5,2
2224,대형요트,40.0,100.0,0.0,0.0,0.0,0.0,3,3
2225,동력보트,10.0,50.0,0.0,0.0,0.0,0.0,3,3
2226,마산선상낚시,110.0,840.0,0.0,1.3,0.0,0.18,3,3
2227,범일동맛집,1680.0,12800.0,3.7,28.7,0.24,0.24,9,2
2228,보스턴훼일러,10.0,40.0,0.3,0.3,2.78,0.85,3,1
2229,보트매매,160.0,820.0,9.5,53.1,6.12,7.02,13,2
2230,보트박람회,110.0,430.0,1.3,19.3,1.25,4.79,14,3
2231,보트제작,40.0,90.0,2.5,9.0,6.01,10.59,13,2
2232,부산2층버스,190.0,2080.0,0.4,40.9,0.21,2.13,8,2
2233,부산가족모임,130.0,590.0,0.8,3.0,0.63,0.56,15,3
2234,부산기사포함렌트카,30.0,50.0,1.9,0.3,5.45,0.63,11,2
2235,부산기장맛집,2580.0,28300.0,5.7,193.3,0.24,0.74,15,3
2236,부산기장숙소,580.0,3210.0,4.8,62.7,0.87,2.07,15,3
2237,부산낚시,710.0,2750.0,0.7,32.5,0.1,1.29,15,3
2238,부산낚시배,40.0,180.0,1.0,7.3,2.64,4.45,9,2
2239,부산낚시체험,130.0,1090.0,2.7,31.3,2.08,3.06,7,2
2240,부산배낚시,160.0,940.0,1.8,58.0,1.18,6.59,11,2
2241,부산삼진어묵체험,40.0,150.0,0.0,0.0,0.0,0.0,1,2
2242,부산생활낚시,20.0,100.0,0.0,1.0,0.0,1.0,3,3
2243,부산송정맛집,2390.0,29200.0,5.3,41.3,0.24,0.16,5,2
2244,부산실내낚시터,60.0,800.0,0.9,13.1,1.57,1.73,6,2
2245,부산여행1박2일,270.0,980.0,0.8,12.0,0.32,1.3,15,3
2246,부산오륙도유람선,10.0,60.0,0.3,0.8,2.78,1.32,3,3
2247,부산요트야,110.0,670.0,0.5,9.3,0.46,1.46,14,3
2248,부산요트탈래,310.0,1670.0,0.0,0.8,0.0,0.06,2,2
2249,부산정관맛집,380.0,4880.0,1.0,10.3,0.29,0.24,13,2
2250,부산체험낚시,10.0,80.0,0.0,1.5,0.0,1.88,4,1
2251,부산킹크랩맛집,30.0,170.0,0.0,0.0,0.0,0.0,2,2
2252,부산투어버스,610.0,5460.0,4.1,183.0,0.7,3.59,15,3
2253,부산패키지여행,130.0,920.0,2.3,34.0,1.72,3.93,15,3
2254,부산힐링,120.0,760.0,0.0,1.0,0.0,0.15,3,3
2255,비투어,50.0,110.0,0.0,0.0,0.0,0.0,3,3
2256,삼진어묵체험,240.0,1400.0,0.0,1.9,0.0,0.15,2,2
2257,서면방탈출카페,150.0,1840.0,0.0,0.3,0.0,0.02,3,3
2258,서면파티룸,270.0,1350.0,4.0,30.5,1.48,2.41,15,3
2259,송도수상택시,270.0,1640.0,1.0,1.0,0.39,0.07,3,3
2260,송정맛집,2490.0,38000.0,3.1,55.6,0.14,0.16,13,2
2261,수상택시,300.0,1060.0,0.6,0.6,0.22,0.07,5,2
2262,양산가볼만한곳,2580.0,47200.0,8.7,367.3,0.37,0.87,15,3
2263,양산맛집,6080.0,75100.0,16.6,1011.9,0.3,1.48,15,3
2264,양산소고기,330.0,2800.0,2.1,6.3,0.67,0.25,10,2
