,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
70,탈모제품,40.0,220.0,0.8,2.0,2.11,0.96,15,3
71,지성두피샴푸,960.0,6360.0,2.2,29.5,0.24,0.5,15,3
72,헤어클리닉제품,40.0,390.0,0.0,6.8,0.0,1.81,15,3
73,헤어홈케어,90.0,550.0,0.1,3.7,0.16,0.71,15,3
74,홈두피케어,70.0,470.0,0.5,7.8,0.67,1.84,15,3
75,두피스케일링,2270.0,17700.0,6.6,162.8,0.31,0.98,15,3
76,티트리샴푸,250.0,1760.0,0.5,21.8,0.23,1.33,15,3
77,정수리냄새,400.0,4260.0,0.1,20.9,0.04,0.52,15,3
78,두피케어,630.0,3770.0,1.6,37.0,0.27,1.07,15,3
79,퍼퓸샴푸,670.0,3730.0,3.8,37.8,0.6,1.1,15,3
80,두피관리제품,30.0,260.0,0.5,6.7,1.73,2.67,15,3
81,호텔샴푸,170.0,1050.0,0.2,1.3,0.12,0.14,15,3
82,친환경샴푸,230.0,810.0,1.8,16.8,0.83,2.23,15,3
83,비건샴푸,500.0,1770.0,5.3,37.0,1.09,2.18,15,3
84,더바디샵진저샴푸400,20.0,110.0,0.1,0.5,0.52,0.5,15,3
85,디퓨저,14100.0,42400.0,29.9,391.0,0.23,0.99,15,3
86,샴푸리필,260.0,1330.0,1.5,0.6,0.61,0.06,15,3
87,산모탈모샴푸,40.0,250.0,0.0,0.0,0.0,0.0,3,3
88,1000ML샴푸,10.0,40.0,0.0,0.3,0.0,0.85,4,1
89,무화과샴푸,10.0,80.0,0.0,0.0,0.0,0.0,3,3
90,더바디샵샴푸,150.0,1100.0,0.6,1.8,0.41,0.17,15,3
91,블랙빈샴푸,400.0,3150.0,1.9,40.8,0.5,1.38,15,3
92,커스텀샴푸,10.0,50.0,0.1,0.0,0.92,0.0,8,2
93,건성모발샴푸,10.0,120.0,0.0,0.3,0.0,0.29,3,3
94,장미향샴푸,30.0,240.0,0.0,2.2,0.0,0.97,15,3
95,향샴푸,20.0,1220.0,0.1,0.0,0.28,0.0,15,3
96,ONYOURLIFE,10.0,20.0,0.4,0.5,4.0,2.23,3,1
97,손상모샴푸,150.0,870.0,0.7,11.6,0.5,1.41,15,3
98,리필샴푸,70.0,370.0,0.3,2.2,0.42,0.65,15,3
99,네이처리퍼블릭샴푸,220.0,1970.0,0.5,16.0,0.22,0.87,15,3
100,탈모두피케어,10.0,90.0,0.0,1.7,0.0,1.94,15,3
101,M자탈모,1090.0,9360.0,1.5,29.5,0.14,0.34,15,3
102,향기샴푸,70.0,470.0,0.6,7.5,0.87,1.66,15,3
103,향좋은린스,20.0,160.0,0.0,0.0,0.0,0.0,3,3
104,검은머리샴푸,20.0,80.0,0.0,0.0,0.0,0.0,3,3
105,머릿결좋아지는샴푸,30.0,380.0,0.0,3.3,0.0,0.94,15,3
106,크리스토프로빈,20.0,40.0,0.5,0.5,2.18,1.29,9,2
107,CHRISTOPHEROBIN,10.0,10.0,0.0,0.0,0.0,0.0,3,3
108,프랑스샴푸,130.0,790.0,0.9,4.5,0.76,0.61,15,3
109,향수샴푸,150.0,1330.0,0.8,22.7,0.54,1.84,15,3
110,샴푸향,60.0,410.0,0.3,1.0,0.45,0.25,15,3
111,정수리탈모,1830.0,18000.0,2.3,63.8,0.14,0.38,15,3
112,명품샴푸,80.0,480.0,0.4,3.8,0.5,0.85,15,3
113,삼푸,340.0,3040.0,1.9,46.1,0.61,1.62,15,3
114,미용실두피샴푸,40.0,740.0,0.0,1.0,0.0,0.15,3,3
115,향기좋은샴푸,400.0,6040.0,2.7,52.3,0.69,0.93,15,3
116,시트러스샴푸,20.0,160.0,0.0,0.3,0.0,0.21,3,3
117,향이좋은샴푸,50.0,460.0,0.5,13.6,1.02,3.13,15,3
118,퍼퓸샴푸추천,30.0,210.0,0.1,0.0,0.23,0.0,15,3
119,향기나는샴푸,10.0,90.0,0.1,1.5,0.61,1.95,15,3
