,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
4208,거실매트1+1,20.0,360.0,0.2,17.1,0.87,5.0,14,3
4209,유모차담요,100.0,1880.0,1.1,0.7,1.14,0.04,4,1
4210,키즈매트,40.0,430.0,0.2,4.9,0.44,1.19,15,3
4211,범퍼침대,2950.0,34000.0,22.7,577.3,0.82,1.83,15,3
4212,블랑켓,530.0,2430.0,1.4,18.9,0.28,0.84,15,3
4213,아기벙커침대,50.0,370.0,0.1,1.0,0.15,0.29,14,3
4214,아가침대,20.0,280.0,0.4,9.3,1.67,3.63,15,3
4215,범퍼침대특대형,90.0,1000.0,0.7,12.0,0.84,1.32,15,3
4216,베이비침대,40.0,260.0,0.7,7.5,1.49,2.96,15,3
4217,애견방수방석,10.0,40.0,0.1,0.0,1.12,0.0,15,3
4218,새끼강아지용품,20.0,220.0,0.3,8.0,1.27,3.81,15,3
4219,반려견용품,160.0,430.0,5.1,14.3,3.3,3.59,15,3
4220,켄넬방석,190.0,1190.0,0.7,18.0,0.42,1.63,12,2
4221,범퍼쿠션,160.0,2390.0,0.9,43.8,0.58,2.0,15,3
4222,아기가드,380.0,3980.0,2.5,93.1,0.7,2.53,15,3
4223,침대가드쿠션,220.0,4700.0,0.3,17.3,0.13,0.4,15,3
4224,벨라아기침대범퍼,20.0,220.0,0.0,0.3,0.0,0.16,3,3
4225,신생아원목침대,70.0,1000.0,1.4,18.5,1.92,1.99,15,3
4226,침대범퍼,130.0,940.0,0.1,4.5,0.06,0.52,15,3
4227,신생아침대,1530.0,9120.0,7.5,114.9,0.51,1.35,15,3
4228,아기매트가드,20.0,320.0,0.0,0.0,0.0,0.0,3,3
4229,가드쿠션,70.0,940.0,0.0,1.0,0.0,0.12,3,3
4230,포몽드낮잠이불,430.0,9800.0,0.9,2.3,0.22,0.03,15,3
4231,어린이놀이방매트,10.0,70.0,0.3,0.6,1.76,0.89,15,3
4232,아기겨울이불,280.0,5800.0,0.6,26.1,0.23,0.49,15,3
4233,놀이매트,1300.0,13900.0,7.6,176.1,0.61,1.35,15,3
4234,트립트랩쿠션,180.0,4240.0,0.0,2.0,0.0,0.06,3,3
4235,유아용바닥매트,10.0,10.0,0.1,0.0,1.49,0.0,15,3
4236,놀이방매트추천,20.0,70.0,0.3,1.8,1.34,2.5,15,3
4237,삼베이불,20.0,120.0,0.0,0.5,0.0,0.47,15,3
4238,어린이방매트,20.0,70.0,0.3,2.3,1.22,3.09,15,3
4239,기저귀패드,150.0,1210.0,0.6,7.6,0.42,0.68,15,3
4240,여름담요,30.0,290.0,0.1,2.2,0.38,0.81,15,3
4241,유아쿨매트,10.0,100.0,0.0,0.0,0.0,0.0,14,3
4242,거즈담요,40.0,220.0,0.4,3.3,0.98,1.64,15,3
4243,유아쿠션,40.0,290.0,0.5,3.5,1.22,1.33,15,3
4244,알레르기침구,40.0,200.0,0.7,7.5,1.79,3.95,15,3
4245,임신초기선물,300.0,1580.0,0.6,5.7,0.21,0.39,15,3
4246,전자파차단담요,330.0,1650.0,1.9,29.7,0.61,1.91,15,3
4247,아기쿠션매트,40.0,580.0,0.0,0.3,0.0,0.07,15,3
4248,도톰한패드,10.0,200.0,0.2,5.3,1.18,2.7,15,3
4249,착지매트,90.0,270.0,2.0,3.5,2.16,1.34,15,3
4250,키즈카페놀이시설,10.0,30.0,0.5,1.3,5.34,3.79,15,3
4251,어린이놀이방,40.0,230.0,0.9,4.5,1.81,2.07,15,3
4252,유치원입학선물,40.0,240.0,0.2,1.2,0.52,0.5,15,3
4253,어린이보호대,70.0,280.0,0.1,3.6,0.09,1.4,15,3
4254,여자돌선물,20.0,100.0,0.0,0.0,0.0,0.0,3,3
4255,여자어린이선물,20.0,110.0,0.0,0.7,0.0,0.64,15,3
4256,여자유아쇼핑몰,20.0,240.0,1.7,16.4,7.88,7.28,15,3
4257,유아동쇼핑몰,30.0,150.0,1.3,8.8,3.96,5.88,15,3
4258,유아동용품,10.0,10.0,0.0,0.0,0.0,0.0,3,3
4259,유아용품선물,10.0,30.0,0.0,0.3,0.0,0.91,4,1
4260,의사놀이,70.0,790.0,0.0,0.3,0.0,0.05,3,3
4261,출생선물,40.0,100.0,0.0,0.0,0.0,0.0,3,3
4262,캐릭터담요,420.0,1930.0,0.5,11.5,0.12,0.64,15,3
4263,풋머프,240.0,3740.0,0.0,0.3,0.0,0.01,3,3
4264,100일애기선물,10.0,50.0,0.0,0.0,0.0,0.0,3,3
4265,15개월아기선물,20.0,120.0,0.0,0.3,0.0,0.31,3,3
4266,5살여자아이선물,90.0,670.0,0.3,7.5,0.39,1.19,15,3
